# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: gat.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
All:         26     1.0513       4626       1072         64        101      0.086      0.612      0.806      0.712      0.815 
Test:         27     1.0498        952        188         14         19      0.092      0.576      0.828      0.705      0.811 
Train:         27     1.0498       3701        857         51         81      0.086      0.614      0.806      0.713      0.818 
All:         27     1.0498       4629       1069         61        104      0.089      0.630      0.807      0.721      0.816 
Test:         28     1.0446        951        189         13         20      0.096      0.606      0.828      0.720      0.809 
Train:         28     1.0446       3704        854         48         84      0.090      0.636      0.808      0.725      0.818 
All:         28     1.0446       4630       1068         60        105      0.090      0.636      0.808      0.724      0.816 
Test:         29       1.05        950        190         12         21      0.100      0.636      0.828      0.735      0.808 
Train:         29       1.05       3703        855         49         83      0.088      0.629      0.807      0.721      0.819 
All:         29       1.05       4631       1067         59        106      0.090      0.642      0.808      0.728      0.817 
Test:         30     1.0494        952        188         13         20      0.096      0.606      0.829      0.721      0.806 
Train:         30     1.0494       3704        854         48         84      0.090      0.636      0.808      0.725      0.819 
All:         30     1.0494       4632       1066         58        107      0.091      0.648      0.808      0.731      0.816 
Test:         31     1.0287        955        185         13         20      0.098      0.606      0.831      0.722      0.805 
Train:         31     1.0287       3706        852         46         86      0.092      0.652      0.809      0.732      0.820 
All:         31     1.0287       4633       1065         57        108      0.092      0.655      0.809      0.734      0.816 
Test:         32     1.0347        953        187         14         19      0.092      0.576      0.829      0.706      0.804 
Train:         32     1.0347       3707        851         45         87      0.093      0.659      0.809      0.736      0.820 
All:         32     1.0347       4633       1065         57        108      0.092      0.655      0.809      0.734      0.816 
Test:         33     1.0402        949        191         14         19      0.090      0.576      0.825      0.704      0.802 
Train:         33     1.0402       3708        850         44         88      0.094      0.667      0.809      0.740      0.820 
All:         33     1.0402       4632       1066         58        107      0.091      0.648      0.808      0.731      0.816 
Test:         34     1.0458        946        194         14         19      0.089      0.576      0.823      0.703      0.802 
Train:         34     1.0458       3708        850         44         88      0.094      0.667      0.809      0.740      0.820 
All:         34     1.0458       4633       1065         57        108      0.092      0.655      0.809      0.734      0.816 
Test:         35     1.0431        945        195         14         19      0.089      0.576      0.822      0.702      0.802 
Train:         35     1.0431       3707        851         45         87      0.093      0.659      0.809      0.736      0.821 
All:         35     1.0431       4633       1065         57        108      0.092      0.655      0.809      0.734      0.817 
Test:         36     1.0435        942        198         13         20      0.092      0.606      0.820      0.716      0.802 
Train:         36     1.0435       3707        851         45         87      0.093      0.659      0.809      0.736      0.821 
All:         36     1.0435       4632       1066         58        107      0.091      0.648      0.808      0.731      0.817 
Test:         37     1.0302        940        200         13         20      0.091      0.606      0.818      0.715      0.802 
Train:         37     1.0302       3707        851         45         87      0.093      0.659      0.809      0.736      0.822 
All:         37     1.0302       4634       1064         56        109      0.093      0.661      0.809      0.737      0.818 
Test:         38      1.025        939        201         13         20      0.090      0.606      0.818      0.715      0.802 
Train:         38      1.025       3709        849         43         89      0.095      0.674      0.810      0.744      0.822 
All:         38      1.025       4634       1064         56        109      0.093      0.661      0.809      0.737      0.818 
Test:         39     1.0356        937        203         13         20      0.090      0.606      0.816      0.714      0.802 
Train:         39     1.0356       3709        849         43         89      0.095      0.674      0.810      0.744      0.823 
All:         39     1.0356       4634       1064         56        109      0.093      0.661      0.809      0.737      0.819 
Test:         40     1.0259        935        205         13         20      0.089      0.606      0.814      0.713      0.802 
Train:         40     1.0259       3709        849         43         89      0.095      0.674      0.810      0.744      0.824 
All:         40     1.0259       4634       1064         56        109      0.093      0.661      0.809      0.737      0.819 
Test:         41     1.0151        935        205         13         20      0.089      0.606      0.814      0.713      0.801 
Train:         41     1.0151       3710        848         42         90      0.096      0.682      0.810      0.748      0.825 
All:         41     1.0151       4636       1062         54        111      0.095      0.673      0.810      0.743      0.820 
Test:         42     1.0265        936        204         13         20      0.089      0.606      0.815      0.714      0.800 
Train:         42     1.0265       3711        847         41         91      0.097      0.689      0.811      0.752      0.825 
All:         42     1.0265       4636       1062         54        111      0.095      0.673      0.810      0.743      0.820 
Test:         43     1.0234        936        204         13         20      0.089      0.606      0.815      0.714      0.799 
Train:         43     1.0234       3710        848         42         90      0.096      0.682      0.810      0.748      0.826 
All:         43     1.0234       4636       1062         54        111      0.095      0.673      0.810      0.743      0.820 
Test:         44     1.0251        935        205         13         20      0.089      0.606      0.814      0.713      0.798 
Train:         44     1.0251       3710        848         42         90      0.096      0.682      0.810      0.748      0.826 
All:         44     1.0251       4635       1063         55        110      0.094      0.667      0.809      0.740      0.820 
Test:         45     1.0209        934        206         13         20      0.088      0.606      0.813      0.713      0.796 
Train:         45     1.0209       3708        850         44         88      0.094      0.667      0.809      0.740      0.826 
All:         45     1.0209       4634       1064         56        109      0.093      0.661      0.809      0.737      0.820 
Test:         46     1.0197        936        204         13         20      0.089      0.606      0.815      0.714      0.795 
Train:         46     1.0197       3708        850         44         88      0.094      0.667      0.809      0.740      0.826 
All:         46     1.0197       4633       1065         57        108      0.092      0.655      0.809      0.734      0.820 
Test:         47     1.0192        938        202         13         20      0.090      0.606      0.817      0.714      0.794 
Train:         47     1.0192       3707        851         45         87      0.093      0.659      0.809      0.736      0.827 
All:         47     1.0192       4632       1066         58        107      0.091      0.648      0.808      0.731      0.820 
Test:         48     1.0226        937        203         13         20      0.090      0.606      0.816      0.714      0.794 
Train:         48     1.0226       3706        852         46         86      0.092      0.652      0.809      0.732      0.827 
All:         48     1.0226       4631       1067         59        106      0.090      0.642      0.808      0.728      0.820 
Test:         49     1.0287        933        207         14         19      0.084      0.576      0.812      0.697      0.793 
Train:         49     1.0287       3706        852         46         86      0.092      0.652      0.809      0.732      0.827 
All:         49     1.0287       4631       1067         59        106      0.090      0.642      0.808      0.728      0.820 
Test:         50     1.0143        931        209         14         19      0.083      0.576      0.810      0.696      0.791 
Train:         50     1.0143       3708        850         44         88      0.094      0.667      0.809      0.740      0.827 
All:         50     1.0143       4632       1066         58        107      0.091      0.648      0.808      0.731      0.819 
Test:         51     1.0166        932        208         14         19      0.084      0.576      0.811      0.697      0.789 
Train:         51     1.0166       3709        849         43         89      0.095      0.674      0.810      0.744      0.826 
All:         51     1.0166       4633       1065         57        108      0.092      0.655      0.809      0.734      0.819 
Test:         52    0.99903        932        208         14         19      0.084      0.576      0.811      0.697      0.789 
Train:         52    0.99903       3709        849         43         89      0.095      0.674      0.810      0.744      0.826 
All:         52    0.99903       4633       1065         57        108      0.092      0.655      0.809      0.734      0.818 
Test:         53     1.0175        931        209         14         19      0.083      0.576      0.810      0.696      0.788 
Train:         53     1.0175       3709        849         43         89      0.095      0.674      0.810      0.744      0.826 
All:         53     1.0175       4633       1065         57        108      0.092      0.655      0.809      0.734      0.818 
Test:         54     1.0149        933        207         14         19      0.084      0.576      0.812      0.697      0.786 
Train:         54     1.0149       3710        848         42         90      0.096      0.682      0.810      0.748      0.827 
All:         54     1.0149       4634       1064         56        109      0.093      0.661      0.809      0.737      0.818 
Test:         55     1.0169        930        210         14         19      0.083      0.576      0.809      0.696      0.785 
Train:         55     1.0169       3711        847         41         91      0.097      0.689      0.811      0.752      0.827 
All:         55     1.0169       4635       1063         55        110      0.094      0.667      0.809      0.740      0.819 
Test:         56     1.0086        932        208         14         19      0.084      0.576      0.811      0.697      0.785 
Train:         56     1.0086       3711        847         41         91      0.097      0.689      0.811      0.752      0.828 
All:         56     1.0086       4635       1063         55        110      0.094      0.667      0.809      0.740      0.819 
Test:         57     1.0072        932        208         14         19      0.084      0.576      0.811      0.697      0.784 
Train:         57     1.0072       3712        846         40         92      0.098      0.697      0.811      0.756      0.829 
All:         57     1.0072       4637       1061         53        112      0.095      0.679      0.810      0.746      0.820 
Test:         58     1.0056        934        206         14         19      0.084      0.576      0.812      0.698      0.783 
Train:         58     1.0056       3711        847         41         91      0.097      0.689      0.811      0.752      0.829 
All:         58     1.0056       4636       1062         54        111      0.095      0.673      0.810      0.743      0.820 
Test:         59     1.0038        937        203         14         19      0.086      0.576      0.815      0.699      0.782 
Train:         59     1.0038       3710        848         42         90      0.096      0.682      0.810      0.748      0.828 
