# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: hgcn.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
Train:         26    0.98955       3716        842         36         96      0.102      0.727      0.813      0.771      0.855 
All:         26    0.98955       4645       1053         45        120      0.102      0.727      0.813      0.771      0.853 
Test:         27     1.0281        931        209          9         24      0.103      0.727      0.814      0.772      0.845 
Train:         27     1.0281       3717        841         35         97      0.103      0.735      0.813      0.775      0.856 
All:         27     1.0281       4646       1052         44        121      0.103      0.733      0.813      0.774      0.854 
Test:         28    0.98065        934        206          9         24      0.104      0.727      0.817      0.773      0.843 
Train:         28    0.98065       3715        843         37         95      0.101      0.720      0.812      0.767      0.856 
All:         28    0.98065       4644       1054         46        119      0.101      0.721      0.812      0.768      0.854 
Test:         29    0.99828        933        207          9         24      0.104      0.727      0.816      0.773      0.842 
Train:         29    0.99828       3716        842         36         96      0.102      0.727      0.813      0.771      0.856 
All:         29    0.99828       4645       1053         45        120      0.102      0.727      0.813      0.771      0.853 
Test:         30      1.003        933        207          9         24      0.104      0.727      0.816      0.773      0.843 
Train:         30      1.003       3716        842         36         96      0.102      0.727      0.813      0.771      0.856 
All:         30      1.003       4645       1053         45        120      0.102      0.727      0.813      0.771      0.853 
Test:         31    0.95815        931        209          9         24      0.103      0.727      0.814      0.772      0.842 
Train:         31    0.95815       3717        841         35         97      0.103      0.735      0.813      0.775      0.856 
All:         31    0.95815       4646       1052         44        121      0.103      0.733      0.813      0.774      0.853 
Test:         32    0.94894        935        205          9         24      0.105      0.727      0.818      0.774      0.842 
Train:         32    0.94894       3717        841         35         97      0.103      0.735      0.813      0.775      0.856 
All:         32    0.94894       4647       1051         43        122      0.104      0.739      0.813      0.777      0.853 
Test:         33    0.97711        935        205          9         24      0.105      0.727      0.818      0.774      0.842 
Train:         33    0.97711       3717        841         35         97      0.103      0.735      0.813      0.775      0.856 
All:         33    0.97711       4646       1052         44        121      0.103      0.733      0.813      0.774      0.853 
Test:         34    0.95945        934        206          9         24      0.104      0.727      0.817      0.773      0.844 
Train:         34    0.95945       3718        840         34         98      0.104      0.742      0.814      0.779      0.856 
All:         34    0.95945       4647       1051         43        122      0.104      0.739      0.813      0.777      0.854 
Test:         35    0.93853        934        206          9         24      0.104      0.727      0.817      0.773      0.845 
Train:         35    0.93853       3718        840         34         98      0.104      0.742      0.814      0.779      0.856 
All:         35    0.93853       4648       1050         42        123      0.105      0.745      0.814      0.781      0.854 
Test:         36    0.96427        935        205          9         24      0.105      0.727      0.818      0.774      0.845 
