# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: phgcn.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
All:         26    0.93213       4639       1059         51        114      0.097      0.691      0.811      0.753      0.848 
Test:         27    0.95364        910        230         12         21      0.084      0.636      0.794      0.717      0.805 
Train:         27    0.95364       3715        843         37         95      0.101      0.720      0.812      0.767      0.860 
All:         27    0.95364       4641       1057         49        116      0.099      0.703      0.811      0.759      0.849 
Test:         28    0.94541        906        234         12         21      0.082      0.636      0.790      0.716      0.804 
Train:         28    0.94541       3716        842         36         96      0.102      0.727      0.813      0.771      0.860 
All:         28    0.94541       4641       1057         49        116      0.099      0.703      0.811      0.759      0.849 
Test:         29    0.95242        908        232         12         21      0.083      0.636      0.792      0.716      0.803 
Train:         29    0.95242       3717        841         35         97      0.103      0.735      0.813      0.775      0.861 
All:         29    0.95242       4643       1055         47        118      0.101      0.715      0.812      0.765      0.849 
Test:         30    0.92939        909        231         12         21      0.083      0.636      0.793      0.717      0.803 
Train:         30    0.92939       3718        840         34         98      0.104      0.742      0.814      0.779      0.861 
All:         30    0.92939       4643       1055         47        118      0.101      0.715      0.812      0.765      0.849 
Test:         31    0.92634        910        230         12         21      0.084      0.636      0.794      0.717      0.803 
Train:         31    0.92634       3718        840         34         98      0.104      0.742      0.814      0.779      0.861 
All:         31    0.92634       4643       1055         47        118      0.101      0.715      0.812      0.765      0.849 
Test:         32    0.94532        910        230         12         21      0.084      0.636      0.794      0.717      0.803 
Train:         32    0.94532       3718        840         34         98      0.104      0.742      0.814      0.779      0.861 
All:         32    0.94532       4644       1054         46        119      0.101      0.721      0.812      0.768      0.849 
Test:         33    0.91391        909        231         12         21      0.083      0.636      0.793      0.717      0.801 
Train:         33    0.91391       3718        840         34         98      0.104      0.742      0.814      0.779      0.861 
All:         33    0.91391       4644       1054         46        119      0.101      0.721      0.812      0.768      0.849 
Test:         34    0.94652        913        227         13         20      0.081      0.606      0.795      0.703      0.801 
Train:         34    0.94652       3718        840         34         98      0.104      0.742      0.814      0.779      0.862 
All:         34    0.94652       4643       1055         47        118      0.101      0.715      0.812      0.765      0.849 
Test:         35    0.92414        908        232         13         20      0.079      0.606      0.791      0.701      0.802 
Train:         35    0.92414       3718        840         34         98      0.104      0.742      0.814      0.779      0.862 
All:         35    0.92414       4643       1055         47        118      0.101      0.715      0.812      0.765      0.849 
Test:         36    0.93022        910        230         13         20      0.080      0.606      0.793      0.702      0.803 
Train:         36    0.93022       3718        840         34         98      0.104      0.742      0.814      0.779      0.862 
