# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: sage.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
All:         26     1.1829       4633       1065         57        108      0.092      0.655      0.809      0.734      0.825 
Test:         27     1.1458        915        225          5         28      0.111      0.848      0.804      0.826      0.877 
Train:         27     1.1458       3701        857         51         81      0.086      0.614      0.806      0.713      0.816 
All:         27     1.1458       4634       1064         56        109      0.093      0.661      0.809      0.737      0.828 
Test:         28     1.1443        916        224          5         28      0.111      0.848      0.805      0.826      0.877 
Train:         28     1.1443       3702        856         50         82      0.087      0.621      0.807      0.717      0.817 
All:         28     1.1443       4635       1063         55        110      0.094      0.667      0.809      0.740      0.829 
Test:         29     1.1359        918        222          5         28      0.112      0.848      0.806      0.827      0.877 
Train:         29     1.1359       3701        857         51         81      0.086      0.614      0.806      0.713      0.819 
All:         29     1.1359       4634       1064         56        109      0.093      0.661      0.809      0.737      0.831 
Test:         30     1.1351        915        225          5         28      0.111      0.848      0.804      0.826      0.877 
Train:         30     1.1351       3702        856         50         82      0.087      0.621      0.807      0.717      0.819 
All:         30     1.1351       4634       1064         56        109      0.093      0.661      0.809      0.737      0.831 
Test:         31     1.1335        918        222          5         28      0.112      0.848      0.806      0.827      0.877 
Train:         31     1.1335       3703        855         49         83      0.088      0.629      0.807      0.721      0.820 
All:         31     1.1335       4635       1063         55        110      0.094      0.667      0.809      0.740      0.832 
Test:         32     1.1597        917        223          5         28      0.112      0.848      0.806      0.826      0.877 
Train:         32     1.1597       3703        855         49         83      0.088      0.629      0.807      0.721      0.822 
All:         32     1.1597       4636       1062         54        111      0.095      0.673      0.810      0.743      0.833 
Test:         33     1.1335        918        222          5         28      0.112      0.848      0.806      0.827      0.876 
Train:         33     1.1335       3704        854         48         84      0.090      0.636      0.808      0.725      0.823 
All:         33     1.1335       4636       1062         54        111      0.095      0.673      0.810      0.743      0.834 
Test:         34     1.1444        919        221          5         28      0.112      0.848      0.807      0.827      0.876 
Train:         34     1.1444       3706        852         46         86      0.092      0.652      0.809      0.732      0.824 
All:         34     1.1444       4638       1060         52        113      0.096      0.685      0.810      0.749      0.835 
Test:         35     1.1565        920        220          5         28      0.113      0.848      0.808      0.828      0.877 
Train:         35     1.1565       3707        851         45         87      0.093      0.659      0.809      0.736      0.826 
All:         35     1.1565       4639       1059         51        114      0.097      0.691      0.811      0.753      0.836 
Test:         36     1.1307        921        219          5         28      0.113      0.848      0.809      0.828      0.877 
Train:         36     1.1307       3707        851         45         87      0.093      0.659      0.809      0.736      0.827 
All:         36     1.1307       4640       1058         50        115      0.098      0.697      0.811      0.756      0.837 
Test:         37     1.1133        921        219          5         28      0.113      0.848      0.809      0.828      0.877 
Train:         37     1.1133       3707        851         45         87      0.093      0.659      0.809      0.736      0.827 
