29974	339
29974	10492
2	259
2	348
79719	130340
79719	1175
22848	1173
14	64782
14	6134
25980	55837
60496	6491
60496	7186
60496	23326
26574	23291
26574	4193
26574	5925
9625	5499
9625	5501
19	7376
10257	9368
215	5824
225	5824
5825	5824
6059	9391
6059	64210
23	351
23	8726
55324	5987
55347	56888
7920	113878
7920	6048
51099	5346
51099	57104
10006	25
10006	10458
10006	55740
10006	2059
10006	4690
10006	8440
10006	10787
10006	10163
10152	25
10152	339834
10152	1838
10152	90410
10152	3866
10152	8440
10152	22954
51225	80817
51225	8667
51225	862
51225	7454
25	25
25	27
25	472
25	545
25	9564
25	613
25	672
25	867
25	1398
25	1399
25	1796
25	1956
25	2885
25	3320
25	3308
25	3636
25	3725
25	4137
25	4193
25	4439
25	4690
25	4739
25	4914
25	5295
25	5688
25	5888
25	5925
25	6464
25	10580
25	8470
25	7161
25	8936
25	7514
25	2547
25	7529
25	7531
25	7532
25	7533
25	10971
25	7534
27	27
27	1398
27	1956
80325	8452
31	672
31	5562
28976	51295
28976	23197
28976	4722
28976	51300
39	39
91452	23291
84680	84680
65057	25913
65057	7013
65057	54386
65057	26277
1636	183
59272	183
22985	10921
22985	10284
22985	6733
47	9636
47	7316
130013	4110
48	26234
10005	5830
23597	1956
51	5830
80221	23204
80221	116173
23305	23305
58	1072
58	7114
58	84676
60	60
60	71
60	867
60	1072
60	1073
60	11034
60	2078
60	2099
60	2885
60	3192
60	8826
60	4627
60	653361
60	5216
60	5430
60	6464
60	6597
60	6605
60	6606
60	6712
60	7157
60	84959
60	7412
60	7415
60	7428
70	2099
71	71
71	10134
71	10486
71	1072
71	1073
71	11034
71	2885
71	5501
86	79913
86	54556
86	283899
86	10933
86	55257
86	4609
86	8607
86	10856
86	6595
86	6597
86	6605
86	7528
87	9124
87	7273
87	7791
88	3741
88	9124
81	1956
81	51778
81	9124
81	10612
10121	830
10121	6712
10120	1639
10097	10552
10097	10095
10097	10094
10097	2017
10097	2099
10096	10095
10096	2017
10096	2099
57180	10552
57180	10095
57180	10094
79913	93973
79913	54617
79913	83444
79913	125476
79913	54891
79913	283899
79913	10445
79913	4798
79913	8607
79913	10856
79913	29844
79913	51377
79913	7528
64431	8089
64431	10467
93973	54617
93973	283899
93973	10856
93973	51377
93973	7528
90	91
90	657
90	659
90	4086
90	4090
90	4091
91	92
91	2280
91	4092
91	57154
92	3624
92	55333
93	3624
94	7040
95	95
91703	26003
8038	3486
8751	2534
8751	2885
8751	3055
8751	3932
8751	4690
8751	9644
8751	51429
8751	6714
6868	4085
54507	29785
54507	83755
54507	256302
54507	8576
11033	4691
103	3178
103	7514
104	351
51094	26060
23394	10951
23394	11335
23394	23468
23394	3065
135	135
153	408
153	1742
154	92714
154	57561
154	2778
154	2782
154	2870
154	4734
154	5901
154	9368
154	9351
154	10868
154	7417
11047	5700
11047	5704
11047	5707
11047	10213
11047	5708
11047	5710
11047	5713
11047	7316
11047	29979
11047	51377
121536	351
121536	8726
121536	2146
121536	23291
121536	3720
121536	23512
64782	55734
4299	4299
4299	27125
4299	23476
4299	904
4299	1025
4299	85403
4299	22936
4299	10614
4299	4297
4299	4298
4299	4300
3899	1025
3899	4300
27125	904
27125	905
27125	1025
27125	85403
27125	55840
27125	8178
27125	22936
27125	4297
27125	4298
27125	4300
27125	6477
27125	7186
175	26270
3267	2060
55109	55109
55109	8480
26523	27161
26523	23405
26523	2289
26523	120892
26523	5430
26523	27327
26523	23112
26523	57690
26523	7157
27161	192669
27161	11218
27161	23405
27161	1994
27161	50628
27161	3320
27161	120892
27161	6895
27161	27327
27161	23112
27161	57690
192669	192670
192669	23405
192669	27327
192669	23112
192669	57690
192670	351
192670	27327
192670	23112
10551	9883
155465	23636
155465	29979
181	4160
183	5972
185	409
57085	57085
57085	23647
57085	5090
57085	8050
57085	26207
57085	5780
57085	51324
25909	4000
25909	23279
191	91369
191	79078
10768	126119
23382	126119
27245	23468
79026	1956
196	9049
196	405
196	2033
196	2099
196	3320
196	8648
196	10499
196	5925
196	5970
196	10273
196	6908
196	7514
10598	1080
10598	3320
10598	3326
197	26232
51327	80149
57379	57379
57379	351
57379	56259
57379	3836
9131	7917
9131	3303
9131	3611
9131	4292
9131	331
150209	351
51390	25898
7965	7965
7965	79173
7965	645455
7965	2275
7965	8880
7965	84708
9049	1025
9049	3320
9049	10728
23746	51667
326	326
326	1387
326	3309
84962	26524
84962	6615
8165	26292
8165	5566
8165	5573
8165	5576
11216	5573
11215	2932
11215	5499
11215	5573
11215	5576
11215	5577
11214	5576
11214	387
11214	7529
158798	5576
8227	4188
10566	5576
8852	5573
9495	5566
9495	5567
9495	5576
9495	5577
9465	79959
9465	5577
10270	3178
10270	4609
10270	5576
26993	1660
26993	7112
10142	84970
10142	22919
10142	5576
10142	5577
8574	22977
22977	22977
207	207
207	26060
207	367
207	409
207	572
207	672
207	55704
207	11140
207	1027
207	1147
207	150684
207	1499
207	153090
207	1956
207	2026
207	2033
207	2175
207	2308
207	4303
207	2931
207	2932
207	3320
207	3315
207	8517
207	3611
207	6416
207	1432
207	9479
207	79109
207	9261
207	4193
207	4515
207	2475
207	4084
207	4734
207	4846
207	5058
207	5170
207	23239
207	5493
207	5499
207	5515
207	5590
207	5591
207	5894
207	253260
207	6502
207	6788
207	6789
207	10273
207	8115
207	7015
207	7189
207	7248
207	7249
207	203068
207	7345
207	7415
207	331
207	4904
207	7534
84335	2475
84335	57521
84335	10971
208	26060
208	5591
208	57630
208	8115
64400	84067
64400	51361
64400	29911
64400	84376
211	142679
211	57634
211	26073
211	9168
216	216
226	226
226	230
85365	311
85365	310
85365	10015
85365	7251
238	2885
238	3718
238	5335
221120	10973
54784	113878
7840	55835
7840	22995
7840	55125
240	23406
240	23405
240	2885
10189	10212
10189	7919
10189	2099
10189	2735
10189	4686
10189	64783
10189	9984
10189	57187
10189	84321
10189	8563
10189	79228
10189	80145
259	259
55626	140461
55626	8678
55626	8451
55626	8450
55626	79016
55626	1642
55626	7189
55626	8408
139285	8312
139285	8945
139285	1499
139285	23291
139285	9817
267	267
267	7917
267	915
267	1080
267	1576
267	79139
267	51009
267	10613
267	11160
267	23197
267	51608
267	9709
267	3156
267	3309
267	3638
267	84447
267	83590
267	337867
267	7316
267	7321
267	7322
267	7323
267	51619
267	7326
267	7327
267	7334
267	55284
267	8266
267	7415
154796	154796
154796	154810
154796	51421
154796	9531
154796	8655
154796	140735
154796	83737
154796	9113
154796	26524
154796	55327
154796	4103
154796	29079
154796	8777
154796	64398
154796	143098
154796	23327
154796	4771
154796	23286
154796	10413
154810	4771
154810	10413
51421	51421
51421	8655
51421	3866
51421	54474
51421	26524
51421	4771
51421	4783
51421	5702
51421	5892
51421	10413
273	1213
273	1759
273	1785
273	8867
273	23336
64682	25906
64682	29882
64682	29945
64682	701
64682	8881
64682	991
64682	996
64682	9656
10393	25906
10393	29945
10393	8881
10393	991
10393	996
51529	51529
51529	29882
51529	29945
51529	991
51529	996
51529	51343
51529	9232
51529	11065
51529	7321
51529	7322
51529	3093
51529	27338
25847	8697
25906	29882
25906	29945
25906	51433
25906	51434
25906	8881
25906	991
25906	8697
25906	246184
25906	996
119504	991
119504	996
29882	29945
29882	51433
29882	51434
29882	8881
29882	991
29882	8697
29882	246184
29882	996
29882	51343
29882	11065
29882	27338
29945	29945
29945	51433
29945	51434
29945	701
29945	9184
29945	890
29945	891
29945	8881
29945	991
29945	8697
29945	246184
29945	996
29945	26271
29945	51343
29945	4085
29945	4751
