# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: gat.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
All:         26     1.2001       4369        996        321        177      0.151      0.355      0.775      0.585      0.674 
Test:         27     1.2034        866        207         70         30      0.127      0.300      0.764      0.554      0.648 
Train:         27     1.2034       3500        792        252        146      0.156      0.367      0.777      0.591      0.681 
All:         27     1.2034       4368        997        322        176      0.150      0.353      0.775      0.584      0.675 
Test:         28     1.1978        864        209         70         30      0.126      0.300      0.762      0.553      0.649 
Train:         28     1.1978       3502        790        250        148      0.158      0.372      0.778      0.594      0.682 
All:         28     1.1978       4370        995        320        178      0.152      0.357      0.776      0.586      0.676 
Test:         29      1.192        869        204         71         29      0.124      0.290      0.766      0.550      0.652 
Train:         29      1.192       3502        790        250        148      0.158      0.372      0.778      0.594      0.683 
All:         29      1.192       4370        995        320        178      0.152      0.357      0.776      0.586      0.677 
Test:         30     1.1931        871        202         71         29      0.126      0.290      0.767      0.551      0.653 
Train:         30     1.1931       3501        791        251        147      0.157      0.369      0.778      0.593      0.683 
All:         30     1.1931       4369        996        321        177      0.151      0.355      0.775      0.585      0.677 
Test:         31     1.1898        875        198         71         29      0.128      0.290      0.771      0.553      0.654 
Train:         31     1.1898       3502        790        250        148      0.158      0.372      0.778      0.594      0.684 
All:         31     1.1898       4369        996        321        177      0.151      0.355      0.775      0.585      0.678 
Test:         32     1.1946        876        197         71         29      0.128      0.290      0.772      0.553      0.656 
Train:         32     1.1946       3502        790        250        148      0.158      0.372      0.778      0.594      0.684 
All:         32     1.1946       4371        994        319        179      0.153      0.359      0.776      0.587      0.679 
Test:         33     1.1884        878        195         70         30      0.133      0.300      0.774      0.559      0.657 
Train:         33     1.1884       3502        790        250        148      0.158      0.372      0.778      0.594      0.685 
All:         33     1.1884       4371        994        319        179      0.153      0.359      0.776      0.587      0.679 
Test:         34     1.1939        879        194         69         31      0.138      0.310      0.776      0.565      0.658 
Train:         34     1.1939       3502        790        250        148      0.158      0.372      0.778      0.594      0.685 
All:         34     1.1939       4373        992        317        181      0.154      0.363      0.777      0.589      0.680 
Test:         35     1.1838        878        195         68         32      0.141      0.320      0.776      0.569      0.659 
Train:         35     1.1838       3504        788        248        150      0.160      0.377      0.779      0.597      0.686 
All:         35     1.1838       4374        991        316        182      0.155      0.365      0.777      0.590      0.681 
Test:         36     1.1797        879        194         68         32      0.142      0.320      0.777      0.570      0.661 
Train:         36     1.1797       3504        788        248        150      0.160      0.377      0.779      0.597      0.686 
All:         36     1.1797       4374        991        316        182      0.155      0.365      0.777      0.590      0.681 
Test:         37     1.1808        878        195         68         32      0.141      0.320      0.776      0.569      0.662 
Train:         37     1.1808       3504        788        248        150      0.160      0.377      0.779      0.597      0.687 
All:         37     1.1808       4375        990        315        183      0.156      0.367      0.777      0.591      0.682 
Test:         38     1.1783        876        197         68         32      0.140      0.320      0.774      0.568      0.663 
Train:         38     1.1783       3504        788        248        150      0.160      0.377      0.779      0.597      0.687 
All:         38     1.1783       4375        990        315        183      0.156      0.367      0.777      0.591      0.682 
Test:         39     1.1863        876        197         68         32      0.140      0.320      0.774      0.568      0.664 
Train:         39     1.1863       3505        787        247        151      0.161      0.379      0.780      0.598      0.688 
All:         39     1.1863       4375        990        315        183      0.156      0.367      0.777      0.591      0.683 
Test:         40     1.1825        875        198         67         33      0.143      0.330      0.774      0.573      0.665 
Train:         40     1.1825       3505        787        247        151      0.161      0.379      0.780      0.598      0.688 
All:         40     1.1825       4376        989        314        184      0.157      0.369      0.778      0.593      0.683 
Test:         41     1.1908        878        195         66         34      0.148      0.340      0.777      0.579      0.666 
Train:         41     1.1908       3506        786        246        152      0.162      0.382      0.780      0.599      0.689 
All:         41     1.1908       4378        987        312        186      0.159      0.373      0.778      0.595      0.684 
Test:         42     1.1839        877        196         65         35      0.152      0.350      0.777      0.584      0.667 
Train:         42     1.1839       3505        787        246        152      0.162      0.382      0.780      0.599      0.689 
All:         42     1.1839       4379        986        311        187      0.159      0.376      0.779      0.596      0.684 
Test:         43     1.1771        878        195         65         35      0.152      0.350      0.778      0.584      0.667 
Train:         43     1.1771       3505        787        246        152      0.162      0.382      0.780      0.599      0.689 
All:         43     1.1771       4379        986        311        187      0.159      0.376      0.779      0.596      0.685 
Test:         44     1.1745        877        196         65         35      0.152      0.350      0.777      0.584      0.668 
Train:         44     1.1745       3504        788        247        151      0.161      0.379      0.779      0.598      0.690 
All:         44     1.1745       4378        987        312        186      0.159      0.373      0.778      0.595      0.685 
Test:         45     1.1787        879        194         65         35      0.153      0.350      0.779      0.585      0.668 
Train:         45     1.1787       3503        789        248        150      0.160      0.377      0.779      0.597      0.690 
All:         45     1.1787       4377        988        313        185      0.158      0.371      0.778      0.594      0.686 
Test:         46     1.1853        877        196         65         35      0.152      0.350      0.777      0.584      0.669 
Train:         46     1.1853       3505        787        247        151      0.161      0.379      0.780      0.598      0.691 
All:         46     1.1853       4378        987        312        186      0.159      0.373      0.778      0.595      0.686 
Test:         47     1.1788        877        196         64         36      0.155      0.360      0.778      0.589      0.670 
Train:         47     1.1788       3505        787        247        151      0.161      0.379      0.780      0.598      0.691 
