# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: sage.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
All:         26     1.1948       4406        959        284        214      0.182      0.430      0.788      0.625      0.708 
Test:         27     1.1809        908        165         66         34      0.171      0.340      0.803      0.593      0.681 
Train:         27     1.1809       3530        762        222        176      0.188      0.442      0.790      0.632      0.719 
All:         27     1.1809       4405        960        285        213      0.182      0.428      0.788      0.624      0.711 
Test:         28     1.1994        906        167         66         34      0.169      0.340      0.801      0.592      0.682 
Train:         28     1.1994       3528        764        224        174      0.186      0.437      0.789      0.630      0.722 
All:         28     1.1994       4403        962        287        211      0.180      0.424      0.787      0.622      0.714 
Test:         29     1.1785        905        168         65         35      0.172      0.350      0.801      0.597      0.682 
Train:         29     1.1785       3530        762        222        176      0.188      0.442      0.790      0.632      0.724 
All:         29     1.1785       4407        958        283        215      0.183      0.432      0.788      0.627      0.715 
Test:         30     1.1846        907        166         65         35      0.174      0.350      0.803      0.598      0.682 
Train:         30     1.1846       3530        762        222        176      0.188      0.442      0.790      0.632      0.724 
All:         30     1.1846       4408        957        282        216      0.184      0.434      0.789      0.628      0.716 
Test:         31     1.1844        905        168         63         37      0.180      0.370      0.803      0.607      0.682 
Train:         31     1.1844       3532        760        220        178      0.190      0.447      0.791      0.635      0.725 
All:         31     1.1844       4411        954        279        219      0.187      0.440      0.790      0.631      0.717 
Test:         32     1.1764        904        169         64         36      0.176      0.360      0.801      0.601      0.681 
Train:         32     1.1764       3534        758        218        180      0.192      0.452      0.792      0.638      0.727 
All:         32     1.1764       4411        954        279        219      0.187      0.440      0.790      0.631      0.718 
Test:         33     1.1873        908        165         64         36      0.179      0.360      0.805      0.603      0.681 
Train:         33     1.1873       3536        756        216        182      0.194      0.457      0.793      0.641      0.729 
All:         33     1.1873       4416        949        274        224      0.191      0.450      0.791      0.636      0.719 
Test:         34     1.1813        913        160         64         36      0.184      0.360      0.809      0.605      0.682 
Train:         34     1.1813       3540        752        212        186      0.198      0.467      0.794      0.646      0.730 
All:         34     1.1813       4415        950        275        223      0.190      0.448      0.791      0.635      0.721 
Test:         35     1.1882        912        161         64         36      0.183      0.360      0.808      0.605      0.682 
Train:         35     1.1882       3539        753        213        185      0.197      0.465      0.794      0.645      0.731 
All:         35     1.1882       4417        948        273        225      0.192      0.452      0.792      0.638      0.722 
Test:         36     1.1719        917        156         63         37      0.192      0.370      0.813      0.612      0.682 
Train:         36     1.1719       3539        753        213        185      0.197      0.465      0.794      0.645      0.732 
All:         36     1.1719       4415        950        275        223      0.190      0.448      0.791      0.635      0.722 
Test:         37     1.1778        913        160         63         37      0.188      0.370      0.810      0.610      0.683 
