# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: sage.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
Test:         26     1.1546       1671        381         15         21      0.052      0.583      0.810      0.699      0.798 
Train:         26     1.1546       6627       1580         51         90      0.054      0.638      0.805      0.723      0.787 
All:         26     1.1546       8282       1977         66        111      0.053      0.627      0.804      0.717      0.789 
Test:         27     1.1159       1672        380         15         21      0.052      0.583      0.811      0.699      0.803 
Train:         27     1.1159       6627       1580         51         90      0.054      0.638      0.805      0.723      0.791 
All:         27     1.1159       8282       1977         66        111      0.053      0.627      0.804      0.717      0.793 
Test:         28     1.1599       1673        379         14         22      0.055      0.611      0.812      0.713      0.807 
Train:         28     1.1599       6628       1579         50         91      0.054      0.645      0.805      0.726      0.795 
All:         28     1.1599       8284       1975         64        113      0.054      0.638      0.805      0.723      0.797 
Test:         29     1.1261       1665        387         14         22      0.054      0.611      0.808      0.711      0.813 
Train:         29     1.1261       6628       1579         50         91      0.054      0.645      0.805      0.726      0.799 
All:         29     1.1261       8284       1975         64        113      0.054      0.638      0.805      0.723      0.802 
Test:         30     1.1512       1665        387         14         22      0.054      0.611      0.808      0.711      0.816 
Train:         30     1.1512       6628       1579         50         91      0.054      0.645      0.805      0.726      0.802 
All:         30     1.1512       8285       1974         63        114      0.055      0.644      0.805      0.726      0.805 
Test:         31     1.1345       1662        390         13         23      0.056      0.639      0.807      0.724      0.820 
Train:         31     1.1345       6629       1578         49         92      0.055      0.652      0.805      0.730      0.805 
All:         31     1.1345       8286       1973         62        115      0.055      0.650      0.805      0.729      0.808 
Test:         32     1.1111       1667        385         14         22      0.054      0.611      0.809      0.712      0.824 
Train:         32     1.1111       6630       1577         48         93      0.056      0.660      0.805      0.734      0.808 
All:         32     1.1111       8286       1973         62        115      0.055      0.650      0.805      0.729      0.811 
Test:         33     1.1478       1663        389         13         23      0.056      0.639      0.807      0.725      0.826 
Train:         33     1.1478       6630       1577         48         93      0.056      0.660      0.805      0.734      0.810 
All:         33     1.1478       8287       1972         61        116      0.056      0.655      0.805      0.732      0.813 
Test:         34     1.0981       1663        389         12         24      0.058      0.667      0.808      0.739      0.826 
Train:         34     1.0981       6630       1577         48         93      0.056      0.660      0.805      0.734      0.811 
All:         34     1.0981       8287       1972         60        117      0.056      0.661      0.805      0.734      0.814 
Test:         35     1.1272       1663        389         12         24      0.058      0.667      0.808      0.739      0.828 
Train:         35     1.1272       6630       1577         48         93      0.056      0.660      0.805      0.734      0.814 
All:         35     1.1272       8288       1971         60        117      0.056      0.661      0.805      0.734      0.816 
Test:         36      1.112       1660        392         10         26      0.062      0.722      0.807      0.766      0.830 
Train:         36      1.112       6630       1577         48         93      0.056      0.660      0.805      0.734      0.817 
All:         36      1.112       8290       1969         58        119      0.057      0.672      0.806      0.740      0.819 
Test:         37     1.1307       1657        395         10         26      0.062      0.722      0.806      0.765      0.833 
Train:         37     1.1307       6631       1576         47         94      0.056      0.667      0.806      0.737      0.821 
All:         37     1.1307       8291       1968         57        120      0.057      0.678      0.806      0.743      0.823 
Test:         38     1.1241       1656        396         10         26      0.062      0.722      0.806      0.765      0.834 
Train:         38     1.1241       6635       1572         43         98      0.059      0.695      0.807      0.752      0.824 
All:         38     1.1241       8295       1964         53        124      0.059      0.701      0.807      0.755      0.826 
Test:         39     1.1088       1655        397          9         27      0.064      0.750      0.806      0.778      0.835 
Train:         39     1.1088       6635       1572         43         98      0.059      0.695      0.807      0.752      0.826 
All:         39     1.1088       8296       1963         52        125      0.060      0.706      0.807      0.757      0.828 
Test:         40     1.1064       1654        398          9         27      0.064      0.750      0.805      0.778      0.836 
Train:         40     1.1064       6635       1572         43         98      0.059      0.695      0.807      0.752      0.827 
All:         40     1.1064       8296       1963         52        125      0.060      0.706      0.807      0.757      0.828 
Test:         41     1.1652       1657        395          9         27      0.064      0.750      0.807      0.779      0.835 
Train:         41     1.1652       6634       1573         44         97      0.058      0.688      0.806      0.748      0.827 
All:         41     1.1652       8295       1964         53        124      0.059      0.701      0.807      0.755      0.829 
Test:         42     1.0976       1660        392          9         27      0.064      0.750      0.808      0.779      0.834 
Train:         42     1.0976       6633       1574         45         96      0.057      0.681      0.806      0.745      0.827 
All:         42     1.0976       8294       1965         54        123      0.059      0.695      0.807      0.752      0.828 
Test:         43     1.1339       1659        393         10         26      0.062      0.722      0.807      0.765      0.833 
Train:         43     1.1339       6633       1574         45         96      0.057      0.681      0.806      0.745      0.827 
All:         43     1.1339       8293       1966         55        122      0.058      0.689      0.806      0.749      0.828 
Test:         44     1.1257       1658        394         10         26      0.062      0.722      0.807      0.765      0.833 
Train:         44     1.1257       6633       1574         45         96      0.057      0.681      0.806      0.745      0.827 
All:         44     1.1257       8293       1966         55        122      0.058      0.689      0.806      0.749      0.828 
Test:         45     1.1378       1660        392         10         26      0.062      0.722      0.807      0.766      0.833 
Train:         45     1.1378       6633       1574         45         96      0.057      0.681      0.806      0.745      0.828 
All:         45     1.1378       8293       1966         55        122      0.058      0.689      0.806      0.749      0.829 
Test:         46     1.1028       1661        391         10         26      0.062      0.722      0.808      0.766      0.834 
Train:         46     1.1028       6634       1573         44         97      0.058      0.688      0.806      0.748      0.829 
All:         46     1.1028       8294       1965         54        123      0.059      0.695      0.807      0.752      0.830 
Test:         47     1.1099       1662        390         10         26      0.062      0.722      0.808      0.766      0.834 
Train:         47     1.1099       6635       1572         43         98      0.059      0.695      0.807      0.752      0.831 
All:         47     1.1099       8295       1964         53        124      0.059      0.701      0.807      0.755      0.832 
Test:         48     1.1336       1662        390         10         26      0.062      0.722      0.808      0.766      0.835 
Train:         48     1.1336       6635       1572         43         98      0.059      0.695      0.807      0.752      0.832 
All:         48     1.1336       8295       1964         53        124      0.059      0.701      0.807      0.755      0.833 
Test:         49     1.0937       1660        392         10         26      0.062      0.722      0.807      0.766      0.836 
Train:         49     1.0937       6635       1572         43         98      0.059      0.695      0.807      0.752      0.833 
All:         49     1.0937       8295       1964         53        124      0.059      0.701      0.807      0.755      0.834 
Test:         50     1.1029       1660        392         10         26      0.062      0.722      0.807      0.766      0.835 
Train:         50     1.1029       6635       1572         43         98      0.059      0.695      0.807      0.752      0.833 
All:         50     1.1029       8295       1964         53        124      0.059      0.701      0.807      0.755      0.834 
Test:         51     1.1159       1659        393         10         26      0.062      0.722      0.807      0.765      0.836 
Train:         51     1.1159       6635       1572         43         98      0.059      0.695      0.807      0.752      0.834 
All:         51     1.1159       8295       1964         53        124      0.059      0.701      0.807      0.755      0.834 
Test:         52     1.1275       1658        394         10         26      0.062      0.722      0.807      0.765      0.835 
Train:         52     1.1275       6634       1573         44         97      0.058      0.688      0.806      0.748      0.834 
All:         52     1.1275       8294       1965         54        123      0.059      0.695      0.807      0.752      0.834 
Test:         53     1.0792       1658        394         10         26      0.062      0.722      0.807      0.765      0.835 
Train:         53     1.0792       6634       1573         44         97      0.058      0.688      0.806      0.748      0.834 
All:         53     1.0792       8294       1965         54        123      0.059      0.695      0.807      0.752      0.834 
Test:         54     1.1199       1656        396         10         26      0.062      0.722      0.806      0.765      0.835 
Train:         54     1.1199       6633       1574         45         96      0.057      0.681      0.806      0.745      0.834 
All:         54     1.1199       8293       1966         55        122      0.058      0.689      0.806      0.749      0.834 
Test:         55     1.0868       1655        397         10         26      0.061      0.722      0.805      0.764      0.835 
Train:         55     1.0868       6633       1574         45         96      0.057      0.681      0.806      0.745      0.834 
All:         55     1.0868       8293       1966         55        122      0.058      0.689      0.806      0.749      0.835 
Test:         56     1.0837       1655        397         10         26      0.061      0.722      0.805      0.764      0.835 
Train:         56     1.0837       6633       1574         45         96      0.057      0.681      0.806      0.745      0.835 
All:         56     1.0837       8293       1966         55        122      0.058      0.689      0.806      0.749      0.835 
Test:         57     1.1091       1657        395         10         26      0.062      0.722      0.806      0.765      0.836 
Train:         57     1.1091       6633       1574         45         96      0.057      0.681      0.806      0.745      0.836 
All:         57     1.1091       8293       1966         55        122      0.058      0.689      0.806      0.749      0.836 
Test:         58     1.0781       1656        396         10         26      0.062      0.722      0.806      0.765      0.836 
Train:         58     1.0781       6633       1574         45         96      0.057      0.681      0.806      0.745      0.836 
All:         58     1.0781       8293       1966         55        122      0.058      0.689      0.806      0.749      0.837 
Test:         59     1.1143       1657        395          9         27      0.064      0.750      0.807      0.779      0.837 
Train:         59     1.1143       6633       1574         45         96      0.057      0.681      0.806      0.745      0.837 
All:         59     1.1143       8294       1965         54        123      0.059      0.695      0.807      0.752      0.837 
Test:         60     1.0792       1660        392          8         28      0.067      0.778      0.808      0.793      0.838 
Train:         60     1.0792       6633       1574         45         96      0.057      0.681      0.806      0.745      0.837 
All:         60     1.0792       8295       1964         53        124      0.059      0.701      0.807      0.755      0.838 
Test:         61     1.0992       1661        391          8         28      0.067      0.778      0.809      0.794      0.838 
Train:         61     1.0992       6634       1573         44         97      0.058      0.688      0.806      0.748      0.838 
All:         61     1.0992       8296       1963         52        125      0.060      0.706      0.807      0.757      0.838 
Test:         62     1.0941       1659        393          8         28      0.067      0.778      0.808      0.793      0.839 
Train:         62     1.0941       6636       1571         42         99      0.059      0.702      0.807      0.755      0.839 
All:         62     1.0941       8298       1961         50        127      0.061      0.718      0.807      0.763      0.839 
Test:         63     1.0865       1660        392          9         27      0.064      0.750      0.808      0.779      0.840 
Train:         63     1.0865       6636       1571         42         99      0.059      0.702      0.807      0.755      0.840 
All:         63     1.0865       8297       1962         51        126      0.060      0.712      0.807      0.760      0.840 
Test:         64     1.0947       1659        393          9         27      0.064      0.750      0.807      0.779      0.840 
Train:         64     1.0947       6636       1571         42         99      0.059      0.702      0.807      0.755      0.840 
All:         64     1.0947       8297       1962         51        126      0.060      0.712      0.807      0.760      0.840 
Test:         65     1.0966       1661        391          9         27      0.065      0.750      0.808      0.780      0.840 
Train:         65     1.0966       6636       1571         42         99      0.059      0.702      0.807      0.755      0.841 
All:         65     1.0966       8297       1962         51        126      0.060      0.712      0.807      0.760      0.841 
Test:         66      1.083       1660        392          8         28      0.067      0.778      0.808      0.793      0.840 
Train:         66      1.083       6636       1571         42         99      0.059      0.702      0.807      0.755      0.841 
All:         66      1.083       8298       1961         50        127      0.061      0.718      0.807      0.763      0.841 
