# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: gcn.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
Test:         26     1.1529       1654        398          8         28      0.066      0.778      0.806      0.792      0.855 
Train:         26     1.1529       6638       1569         40        101      0.060      0.716      0.807      0.763      0.843 
All:         26     1.1529       8300       1959         48        129      0.062      0.729      0.808      0.769      0.845 
Test:         27     1.1452       1655        397          8         28      0.066      0.778      0.806      0.792      0.855 
Train:         27     1.1452       6638       1569         40        101      0.060      0.716      0.807      0.763      0.843 
All:         27     1.1452       8300       1959         48        129      0.062      0.729      0.808      0.769      0.846 
Test:         28      1.133       1662        390          8         28      0.067      0.778      0.809      0.794      0.855 
Train:         28      1.133       6638       1569         40        101      0.060      0.716      0.807      0.763      0.844 
All:         28      1.133       8300       1959         48        129      0.062      0.729      0.808      0.769      0.846 
Test:         29     1.1242       1664        388          9         27      0.065      0.750      0.810      0.780      0.854 
Train:         29     1.1242       6638       1569         40        101      0.060      0.716      0.807      0.763      0.843 
All:         29     1.1242       8299       1960         49        128      0.061      0.723      0.807      0.766      0.846 
Test:         30     1.1306       1671        381         11         25      0.062      0.694      0.812      0.754      0.853 
Train:         30     1.1306       6639       1568         39        102      0.061      0.723      0.807      0.766      0.843 
All:         30     1.1306       8298       1961         50        127      0.061      0.718      0.807      0.763      0.845 
Test:         31     1.1096       1675        377         11         25      0.062      0.694      0.814      0.755      0.850 
Train:         31     1.1096       6640       1567         38        103      0.062      0.730      0.808      0.770      0.842 
All:         31     1.1096       8299       1960         49        128      0.061      0.723      0.807      0.766      0.844 
Test:         32     1.1178       1672        380         11         25      0.062      0.694      0.813      0.755      0.847 
Train:         32     1.1178       6640       1567         38        103      0.062      0.730      0.808      0.770      0.841 
All:         32     1.1178       8300       1959         48        129      0.062      0.729      0.808      0.769      0.842 
Test:         33     1.1056       1675        377         10         26      0.065      0.722      0.815      0.769      0.846 
Train:         33     1.1056       6640       1567         38        103      0.062      0.730      0.808      0.770      0.840 
All:         33     1.1056       8300       1959         48        129      0.062      0.729      0.808      0.769      0.842 
Test:         34     1.1082       1677        375         10         26      0.065      0.722      0.816      0.770      0.847 
Train:         34     1.1082       6640       1567         38        103      0.062      0.730      0.808      0.770      0.841 
All:         34     1.1082       8300       1959         48        129      0.062      0.729      0.808      0.769      0.842 
Test:         35     1.0961       1675        377         11         25      0.062      0.694      0.814      0.755      0.849 
Train:         35     1.0961       6640       1567         38        103      0.062      0.730      0.808      0.770      0.842 
All:         35     1.0961       8299       1960         49        128      0.061      0.723      0.807      0.766      0.843 
Test:         36     1.0842       1674        378         10         26      0.064      0.722      0.814      0.769      0.851 
Train:         36     1.0842       6640       1567         38        103      0.062      0.730      0.808      0.770      0.843 
All:         36     1.0842       8300       1959         48        129      0.062      0.729      0.808      0.769      0.844 
Test:         37     1.0906       1670        382         10         26      0.064      0.722      0.812      0.768      0.852 
Train:         37     1.0906       6639       1568         39        102      0.061      0.723      0.807      0.766      0.843 
All:         37     1.0906       8299       1960         49        128      0.061      0.723      0.807      0.766      0.845 
Test:         38     1.0738       1672        380         10         26      0.064      0.722      0.813      0.769      0.853 
Train:         38     1.0738       6639       1568         39        102      0.061      0.723      0.807      0.766      0.843 
All:         38     1.0738       8300       1959         48        129      0.062      0.729      0.808      0.769      0.845 
Test:         39      1.074       1674        378         10         26      0.064      0.722      0.814      0.769      0.852 
Train:         39      1.074       6640       1567         38        103      0.062      0.730      0.808      0.770      0.843 
All:         39      1.074       8300       1959         48        129      0.062      0.729      0.808      0.769      0.845 
Test:         40     1.0694       1677        375         10         26      0.065      0.722      0.816      0.770      0.851 
Train:         40     1.0694       6640       1567         38        103      0.062      0.730      0.808      0.770      0.843 
All:         40     1.0694       8300       1959         48        129      0.062      0.729      0.808      0.769      0.844 
Test:         41      1.077       1675        377         10         26      0.065      0.722      0.815      0.769      0.849 
Train:         41      1.077       6640       1567         38        103      0.062      0.730      0.808      0.770      0.842 
All:         41      1.077       8300       1959         48        129      0.062      0.729      0.808      0.769      0.843 
Test:         42     1.0758       1682        370          9         27      0.068      0.750      0.818      0.785      0.847 
Train:         42     1.0758       6640       1567         38        103      0.062      0.730      0.808      0.770      0.841 
All:         42     1.0758       8301       1958         47        130      0.062      0.734      0.808      0.772      0.842 
Test:         43     1.0663       1681        371          9         27      0.068      0.750      0.818      0.785      0.847 
Train:         43     1.0663       6640       1567         38        103      0.062      0.730      0.808      0.770      0.841 
All:         43     1.0663       8301       1958         47        130      0.062      0.734      0.808      0.772      0.842 
Test:         44     1.0679       1683        369          9         27      0.068      0.750      0.819      0.785      0.848 
Train:         44     1.0679       6640       1567         38        103      0.062      0.730      0.808      0.770      0.841 
All:         44     1.0679       8301       1958         47        130      0.062      0.734      0.808      0.772      0.843 
Test:         45     1.0617       1686        366         10         26      0.066      0.722      0.820      0.772      0.849 
Train:         45     1.0617       6640       1567         38        103      0.062      0.730      0.808      0.770      0.842 
All:         45     1.0617       8300       1959         48        129      0.062      0.729      0.808      0.769      0.844 
Test:         46     1.0608       1687        365         10         26      0.066      0.722      0.820      0.772      0.851 
Train:         46     1.0608       6640       1567         38        103      0.062      0.730      0.808      0.770      0.843 
All:         46     1.0608       8300       1959         48        129      0.062      0.729      0.808      0.769      0.845 
Test:         47     1.0508       1687        365         10         26      0.066      0.722      0.820      0.772      0.852 
Train:         47     1.0508       6640       1567         38        103      0.062      0.730      0.808      0.770      0.843 
All:         47     1.0508       8300       1959         48        129      0.062      0.729      0.808      0.769      0.845 
Test:         48     1.0445       1684        368         10         26      0.066      0.722      0.819      0.771      0.850 
Train:         48     1.0445       6640       1567         38        103      0.062      0.730      0.808      0.770      0.842 
All:         48     1.0445       8300       1959         48        129      0.062      0.729      0.808      0.769      0.844 
Test:         49     1.0411       1683        369          9         27      0.068      0.750      0.819      0.785      0.847 
Train:         49     1.0411       6638       1569         40        101      0.060      0.716      0.807      0.763      0.841 
All:         49     1.0411       8299       1960         49        128      0.061      0.723      0.807      0.766      0.842 
Test:         50     1.0519       1679        373         10         26      0.065      0.722      0.817      0.770      0.844 
Train:         50     1.0519       6639       1568         39        102      0.061      0.723      0.807      0.766      0.840 
All:         50     1.0519       8300       1959         48        129      0.062      0.729      0.808      0.769      0.841 
Test:         51     1.0498       1678        374         10         26      0.065      0.722      0.816      0.770      0.844 
Train:         51     1.0498       6639       1568         39        102      0.061      0.723      0.807      0.766      0.840 
All:         51     1.0498       8300       1959         48        129      0.062      0.729      0.808      0.769      0.841 
Test:         52     1.0371       1683        369         11         25      0.063      0.694      0.818      0.757      0.846 
Train:         52     1.0371       6639       1568         39        102      0.061      0.723      0.807      0.766      0.841 
All:         52     1.0371       8300       1959         48        129      0.062      0.729      0.808      0.769      0.842 
Test:         53      1.039       1686        366         10         26      0.066      0.722      0.820      0.772      0.848 
Train:         53      1.039       6638       1569         40        101      0.060      0.716      0.807      0.763      0.841 
All:         53      1.039       8300       1959         48        129      0.062      0.729      0.808      0.769      0.843 
Test:         54     1.0407       1682        370         10         26      0.066      0.722      0.818      0.771      0.850 
Train:         54     1.0407       6639       1568         39        102      0.061      0.723      0.807      0.766      0.842 
All:         54     1.0407       8300       1959         48        129      0.062      0.729      0.808      0.769      0.844 
Test:         55     1.0367       1686        366         10         26      0.066      0.722      0.820      0.772      0.851 
Train:         55     1.0367       6640       1567         38        103      0.062      0.730      0.808      0.770      0.843 
All:         55     1.0367       8300       1959         48        129      0.062      0.729      0.808      0.769      0.844 
Test:         56     1.0303       1688        364         10         26      0.067      0.722      0.821      0.772      0.849 
Train:         56     1.0303       6640       1567         38        103      0.062      0.730      0.808      0.770      0.842 
All:         56     1.0303       8300       1959         48        129      0.062      0.729      0.808      0.769      0.844 
Test:         57     1.0273       1688        364         11         25      0.064      0.694      0.820      0.759      0.846 
Train:         57     1.0273       6640       1567         38        103      0.062      0.730      0.808      0.770      0.841 
All:         57     1.0273       8299       1960         49        128      0.061      0.723      0.807      0.766      0.842 
Test:         58     1.0207       1680        372         11         25      0.063      0.694      0.817      0.757      0.844 
Train:         58     1.0207       6639       1568         39        102      0.061      0.723      0.807      0.766      0.840 
All:         58     1.0207       8299       1960         49        128      0.061      0.723      0.807      0.766      0.841 
Test:         59     1.0412       1680        372         11         25      0.063      0.694      0.817      0.757      0.844 
Train:         59     1.0412       6639       1568         39        102      0.061      0.723      0.807      0.766      0.840 
All:         59     1.0412       8298       1961         50        127      0.061      0.718      0.807      0.763      0.841 
Test:         60     1.0152       1681        371         11         25      0.063      0.694      0.817      0.757      0.845 
Train:         60     1.0152       6640       1567         38        103      0.062      0.730      0.808      0.770      0.840 
