# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: phgcn.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
Test:          1     1.3751       1631        421         14         22      0.050      0.611      0.792      0.703      0.772 
Train:          1     1.3751       6625       1582         53         88      0.053      0.624      0.804      0.716      0.803 
All:          1     1.3751       8281       1978         67        110      0.053      0.621      0.804      0.714      0.797 
Test:          2     1.2812       1644        408         14         22      0.051      0.611      0.798      0.706      0.775 
Train:          2     1.2812       6627       1580         51         90      0.054      0.638      0.805      0.723      0.818 
All:          2     1.2812       8283       1976         65        112      0.054      0.633      0.804      0.720      0.809 
Test:          3     1.2837       1650        402         14         22      0.052      0.611      0.801      0.708      0.781 
Train:          3     1.2837       6628       1579         50         91      0.054      0.645      0.805      0.726      0.823 
All:          3     1.2837       8284       1975         64        113      0.054      0.638      0.805      0.723      0.814 
Test:          4     1.2631       1639        413         13         23      0.053      0.639      0.796      0.719      0.788 
Train:          4     1.2631       6631       1576         47         94      0.056      0.667      0.806      0.737      0.826 
All:          4     1.2631       8288       1971         60        117      0.056      0.661      0.805      0.734      0.819 
Test:          5     1.2436       1636        416         13         23      0.052      0.639      0.795      0.718      0.796 
Train:          5     1.2436       6632       1575         46         95      0.057      0.674      0.806      0.741      0.829 
All:          5     1.2436       8289       1970         59        118      0.057      0.667      0.806      0.737      0.822 
Test:          6     1.2096       1644        408         12         24      0.056      0.667      0.799      0.734      0.803 
Train:          6     1.2096       6634       1573         44         97      0.058      0.688      0.806      0.748      0.830 
All:          6     1.2096       8292       1967         56        121      0.058      0.684      0.806      0.746      0.825 
Test:          7     1.1903       1652        400         12         24      0.057      0.667      0.803      0.736      0.809 
Train:          7     1.1903       6635       1572         43         98      0.059      0.695      0.807      0.752      0.831 
All:          7     1.1903       8293       1966         55        122      0.058      0.689      0.806      0.749      0.826 
Test:          8     1.1805       1656        396         12         24      0.057      0.667      0.805      0.737      0.812 
Train:          8     1.1805       6634       1573         44         97      0.058      0.688      0.806      0.748      0.833 
All:          8     1.1805       8292       1967         56        121      0.058      0.684      0.806      0.746      0.828 
Test:          9     1.1517       1651        401         13         23      0.054      0.639      0.802      0.722      0.814 
Train:          9     1.1517       6634       1573         44         97      0.058      0.688      0.806      0.748      0.835 
All:          9     1.1517       8291       1968         57        120      0.057      0.678      0.806      0.743      0.831 
Test:         10     1.1234       1653        399         13         23      0.055      0.639      0.803      0.722      0.815 
Train:         10     1.1234       6635       1572         43         98      0.059      0.695      0.807      0.752      0.838 
All:         10     1.1234       8292       1967         56        121      0.058      0.684      0.806      0.746      0.834 
Test:         11     1.1023       1650        402         12         24      0.056      0.667      0.802      0.735      0.816 
Train:         11     1.1023       6635       1572         43         98      0.059      0.695      0.807      0.752      0.841 
All:         11     1.1023       8293       1966         55        122      0.058      0.689      0.806      0.749      0.836 
Test:         12     1.0676       1648        404         12         24      0.056      0.667      0.801      0.735      0.818 
Train:         12     1.0676       6636       1571         42         99      0.059      0.702      0.807      0.755      0.842 
All:         12     1.0676       8292       1967         56        121      0.058      0.684      0.806      0.746      0.838 
Test:         13     1.0723       1647        405         12         24      0.056      0.667      0.800      0.735      0.822 
Train:         13     1.0723       6634       1573         44         97      0.058      0.688      0.806      0.748      0.844 
All:         13     1.0723       8292       1967         56        121      0.058      0.684      0.806      0.746      0.839 
Test:         14     1.0536       1650        402         12         24      0.056      0.667      0.802      0.735      0.826 
Train:         14     1.0536       6635       1572         43         98      0.059      0.695      0.807      0.752      0.844 
All:         14     1.0536       8293       1966         55        122      0.058      0.689      0.806      0.749      0.841 
Test:         15      1.015       1646        406         12         24      0.056      0.667      0.800      0.734      0.830 
Train:         15      1.015       6636       1571         42         99      0.059      0.702      0.807      0.755      0.844 
All:         15      1.015       8293       1966         55        122      0.058      0.689      0.806      0.749      0.841 
Test:         16     1.0102       1650        402         12         24      0.056      0.667      0.802      0.735      0.833 
Train:         16     1.0102       6636       1571         42         99      0.059      0.702      0.807      0.755      0.845 
All:         16     1.0102       8294       1965         54        123      0.059      0.695      0.807      0.752      0.843 
Test:         17    0.97678       1652        400         12         24      0.057      0.667      0.803      0.736      0.834 
Train:         17    0.97678       6638       1569         40        101      0.060      0.716      0.807      0.763      0.848 
All:         17    0.97678       8296       1963         52        125      0.060      0.706      0.807      0.757      0.845 
