# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: gtn.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
Test:          1     2.6365       1656        396         31          5      0.012      0.139      0.795      0.473      0.419 
Train:          1     2.6365       6555       1652        123         18      0.011      0.128      0.787      0.463      0.401 
All:          1     2.6365       8194       2065        154         23      0.011      0.130      0.787      0.464      0.404 
Test:          2     3.4506       1644        408         10         26      0.060      0.722      0.800      0.762      0.789 
Train:          2     3.4506       6642       1565         36        105      0.063      0.745      0.808      0.777      0.830 
All:          2     3.4506       8302       1957         46        131      0.063      0.740      0.808      0.775      0.821 
Test:          3     1.2528       1648        404          9         27      0.063      0.750      0.802      0.777      0.862 
Train:          3     1.2528       6650       1557         28        113      0.068      0.801      0.810      0.806      0.868 
All:          3     1.2528       8310       1949         38        139      0.067      0.785      0.810      0.798      0.866 
Test:          4     1.6965       1652        400          8         28      0.065      0.778      0.805      0.791      0.871 
Train:          4     1.6965       6654       1553         24        117      0.070      0.830      0.811      0.820      0.874 
All:          4     1.6965       8315       1944         33        144      0.069      0.814      0.811      0.812      0.874 
Test:          5     1.5966       1649        403          9         27      0.063      0.750      0.803      0.777      0.850 
Train:          5     1.5966       6651       1556         27        114      0.068      0.809      0.810      0.809      0.860 
All:          5     1.5966       8312       1947         36        141      0.068      0.797      0.810      0.803      0.858 
Test:          6     1.2535       1648        404         11         25      0.058      0.694      0.801      0.749      0.784 
Train:          6     1.2535       6645       1562         33        108      0.065      0.766      0.809      0.788      0.833 
All:          6     1.2535       8304       1955         44        133      0.064      0.751      0.808      0.780      0.822 
Test:          7     1.1541       1644        408         12         24      0.056      0.667      0.799      0.734      0.757 
Train:          7     1.1541       6637       1570         41        100      0.060      0.709      0.807      0.759      0.814 
All:          7     1.1541       8295       1964         53        124      0.059      0.701      0.807      0.755      0.802 
Test:          8     1.2398       1655        397         13         23      0.055      0.639      0.804      0.723      0.757 
Train:          8     1.2398       6643       1564         35        106      0.063      0.752      0.808      0.781      0.820 
All:          8     1.2398       8300       1959         48        129      0.062      0.729      0.808      0.769      0.807 
Test:          9     1.1577       1655        397         11         25      0.059      0.694      0.805      0.750      0.776 
Train:          9     1.1577       6644       1563         34        107      0.064      0.759      0.809      0.784      0.831 
All:          9     1.1577       8303       1956         45        132      0.063      0.746      0.808      0.778      0.820 
Test:         10     1.0488       1665        387         10         26      0.063      0.722      0.810      0.767      0.791 
Train:         10     1.0488       6648       1559         30        111      0.066      0.787      0.810      0.799      0.849 
All:         10     1.0488       8308       1951         40        137      0.066      0.774      0.809      0.792      0.837 
Test:         11    0.98091       1649        403         10         26      0.061      0.722      0.802      0.763      0.805 
Train:         11    0.98091       6648       1559         30        111      0.066      0.787      0.810      0.799      0.860 
All:         11    0.98091       8308       1951         40        137      0.066      0.774      0.809      0.792      0.849 
Test:         12    0.94901       1644        408         11         25      0.058      0.694      0.799      0.748      0.816 
Train:         12    0.94901       6649       1558         29        112      0.067      0.794      0.810      0.802      0.864 
All:         12    0.94901       8308       1951         40        137      0.066      0.774      0.809      0.792      0.854 
Test:         13    0.99648       1632        420         11         25      0.056      0.694      0.794      0.745      0.822 
Train:         13    0.99648       6648       1559         30        111      0.066      0.787      0.810      0.799      0.865 
All:         13    0.99648       8307       1952         41        136      0.065      0.768      0.809      0.789      0.856 
Test:         14    0.99447       1632        420         11         25      0.056      0.694      0.794      0.745      0.823 
Train:         14    0.99447       6647       1560         31        110      0.066      0.780      0.809      0.795      0.865 
All:         14    0.99447       8306       1953         42        135      0.065      0.763      0.809      0.786      0.856 
Test:         15     1.0106       1628        424         12         24      0.054      0.667      0.791      0.730      0.818 
Train:         15     1.0106       6647       1560         31        110      0.066      0.780      0.809      0.795      0.865 
All:         15     1.0106       8305       1954         43        134      0.064      0.757      0.809      0.783      0.856 
Test:         16    0.99153       1635        417         13         23      0.052      0.639      0.794      0.718      0.811 
Train:         16    0.99153       6648       1559         30        111      0.066      0.787      0.810      0.799      0.866 
All:         16    0.99153       8305       1954         43        134      0.064      0.757      0.809      0.783      0.855 
Test:         17    0.96113       1639        413         13         23      0.053      0.639      0.796      0.719      0.807 
Train:         17    0.96113       6647       1560         31        110      0.066      0.780      0.809      0.795      0.868 
All:         17    0.96113       8303       1956         45        132      0.063      0.746      0.808      0.778      0.855 
Test:         18    0.94537       1637        415         13         23      0.053      0.639      0.795      0.718      0.800 
Train:         18    0.94537       6649       1558         29        112      0.067      0.794      0.810      0.802      0.869 
All:         18    0.94537       8305       1954         43        134      0.064      0.757      0.809      0.783      0.855 
Test:         19    0.93415       1644        408         13         23      0.053      0.639      0.798      0.720      0.795 
Train:         19    0.93415       6650       1557         28        113      0.068      0.801      0.810      0.806      0.873 
All:         19    0.93415       8307       1952         41        136      0.065      0.768      0.809      0.789      0.857 
Test:         20    0.93902       1645        407         13         23      0.053      0.639      0.799      0.720      0.793 
Train:         20    0.93902       6652       1555         26        115      0.069      0.816      0.811      0.813      0.875 
All:         20    0.93902       8309       1950         39        138      0.066      0.780      0.809      0.795      0.858 
Test:         21    0.92613       1643        409         13         23      0.053      0.639      0.798      0.720      0.797 
Train:         21    0.92613       6652       1555         26        115      0.069      0.816      0.811      0.813      0.879 
All:         21    0.92613       8309       1950         39        138      0.066      0.780      0.809      0.795      0.862 
Test:         22     0.9209       1652        400         13         23      0.054      0.639      0.802      0.722      0.806 
Train:         22     0.9209       6652       1555         26        115      0.069      0.816      0.811      0.813      0.884 
All:         22     0.9209       8309       1950         39        138      0.066      0.780      0.809      0.795      0.868 
Test:         23    0.88186       1647        405         12         24      0.056      0.667      0.800      0.735      0.815 
Train:         23    0.88186       6653       1554         25        116      0.069      0.823      0.811      0.817      0.889 
All:         23    0.88186       8311       1948         37        140      0.067      0.791      0.810      0.801      0.874 
Test:         24    0.85815       1652        400         12         24      0.057      0.667      0.803      0.736      0.822 
