# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: gcn2.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
Test:         26     1.0846       1654        398         11         25      0.059      0.694      0.804      0.750      0.812 
Train:         26     1.0846       6648       1559         30        111      0.066      0.787      0.810      0.799      0.850 
All:         26     1.0846       8307       1952         41        136      0.065      0.768      0.809      0.789      0.843 
Test:         27     1.0752       1654        398         11         25      0.059      0.694      0.804      0.750      0.815 
Train:         27     1.0752       6645       1562         33        108      0.065      0.766      0.809      0.788      0.853 
All:         27     1.0752       8304       1955         44        133      0.064      0.751      0.808      0.780      0.845 
Test:         28     1.0722       1655        397         12         24      0.057      0.667      0.804      0.737      0.812 
Train:         28     1.0722       6647       1560         31        110      0.066      0.780      0.809      0.795      0.850 
All:         28     1.0722       8305       1954         43        134      0.064      0.757      0.809      0.783      0.843 
Test:         29     1.0679       1645        407         12         24      0.056      0.667      0.799      0.734      0.805 
Train:         29     1.0679       6646       1561         32        109      0.065      0.773      0.809      0.791      0.844 
All:         29     1.0679       8304       1955         44        133      0.064      0.751      0.808      0.780      0.836 
Test:         30     1.0554       1646        406         12         24      0.056      0.667      0.800      0.734      0.797 
Train:         30     1.0554       6638       1569         40        101      0.060      0.716      0.807      0.763      0.836 
All:         30     1.0554       8296       1963         52        125      0.060      0.706      0.807      0.757      0.828 
Test:         31     1.0442       1646        406         12         24      0.056      0.667      0.800      0.734      0.796 
Train:         31     1.0442       6636       1571         42         99      0.059      0.702      0.807      0.755      0.835 
All:         31     1.0442       8294       1965         54        123      0.059      0.695      0.807      0.752      0.827 
Test:         32     1.0654       1644        408         12         24      0.056      0.667      0.799      0.734      0.804 
Train:         32     1.0654       6644       1563         34        107      0.064      0.759      0.809      0.784      0.845 
All:         32     1.0654       8302       1957         46        131      0.063      0.740      0.808      0.775      0.837 
Test:         33     1.0415       1658        394         12         24      0.057      0.667      0.806      0.737      0.812 
Train:         33     1.0415       6647       1560         31        110      0.066      0.780      0.809      0.795      0.852 
All:         33     1.0415       8305       1954         43        134      0.064      0.757      0.809      0.783      0.844 
Test:         34     1.0396       1656        396         13         23      0.055      0.639      0.804      0.723      0.812 
Train:         34     1.0396       6646       1561         32        109      0.065      0.773      0.809      0.791      0.854 
All:         34     1.0396       8303       1956         45        132      0.063      0.746      0.808      0.778      0.845 
Test:         35     1.0437       1652        400         14         22      0.052      0.611      0.802      0.708      0.806 
Train:         35     1.0437       6643       1564         35        106      0.063      0.752      0.808      0.781      0.848 
All:         35     1.0437       8299       1960         49        128      0.061      0.723      0.807      0.766      0.839 
Test:         36     1.0241       1648        404         14         22      0.052      0.611      0.800      0.707      0.797 
Train:         36     1.0241       6639       1568         39        102      0.061      0.723      0.807      0.766      0.840 
All:         36     1.0241       8295       1964         53        124      0.059      0.701      0.807      0.755      0.832 
Test:         37     1.0175       1648        404         14         22      0.052      0.611      0.800      0.707      0.796 
Train:         37     1.0175       6639       1568         39        102      0.061      0.723      0.807      0.766      0.840 
All:         37     1.0175       8295       1964         53        124      0.059      0.701      0.807      0.755      0.832 
Test:         38     1.0057       1648        404         14         22      0.052      0.611      0.800      0.707      0.802 
Train:         38     1.0057       6640       1567         38        103      0.062      0.730      0.808      0.770      0.847 
All:         38     1.0057       8296       1963         52        125      0.060      0.706      0.807      0.757      0.838 
Test:         39     1.0149       1644        408         14         22      0.051      0.611      0.798      0.706      0.807 
Train:         39     1.0149       6642       1565         36        105      0.063      0.745      0.808      0.777      0.854 
All:         39     1.0149       8298       1961         50        127      0.061      0.718      0.807      0.763      0.844 
Test:         40      1.007       1652        400         13         23      0.054      0.639      0.802      0.722      0.808 
Train:         40      1.007       6642       1565         36        105      0.063      0.745      0.808      0.777      0.855 
All:         40      1.007       8299       1960         49        128      0.061      0.723      0.807      0.766      0.846 
Test:         41     1.0068       1650        402         14         22      0.052      0.611      0.801      0.708      0.802 
Train:         41     1.0068       6642       1565         36        105      0.063      0.745      0.808      0.777      0.851 
All:         41     1.0068       8298       1961         50        127      0.061      0.718      0.807      0.763      0.841 
Test:         42    0.98576       1650        402         14         22      0.052      0.611      0.801      0.708      0.792 
Train:         42    0.98576       6639       1568         39        102      0.061      0.723      0.807      0.766      0.842 
All:         42    0.98576       8295       1964         53        124      0.059      0.701      0.807      0.755      0.832 
Test:         43     0.9963       1654        398         14         22      0.052      0.611      0.803      0.709      0.794 
Train:         43     0.9963       6638       1569         40        101      0.060      0.716      0.807      0.763      0.845 
All:         43     0.9963       8294       1965         54        123      0.059      0.695      0.807      0.752      0.835 
Test:         44    0.98252       1654        398         13         23      0.055      0.639      0.803      0.722      0.801 
Train:         44    0.98252       6642       1565         36        105      0.063      0.745      0.808      0.777      0.853 
All:         44    0.98252       8299       1960         49        128      0.061      0.723      0.807      0.766      0.843 
Test:         45     1.0073       1658        394         13         23      0.055      0.639      0.805      0.723      0.803 
Train:         45     1.0073       6642       1565         36        105      0.063      0.745      0.808      0.777      0.856 
All:         45     1.0073       8299       1960         49        128      0.061      0.723      0.807      0.766      0.845 
Test:         46      1.008       1658        394         14         22      0.053      0.611      0.805      0.710      0.800 
Train:         46      1.008       6642       1565         36        105      0.063      0.745      0.808      0.777      0.854 
All:         46      1.008       8298       1961         50        127      0.061      0.718      0.807      0.763      0.844 
Test:         47      0.981       1660        392         13         23      0.055      0.639      0.806      0.724      0.792 
Train:         47      0.981       6638       1569         40        101      0.060      0.716      0.807      0.763      0.848 
All:         47      0.981       8296       1963         52        125      0.060      0.706      0.807      0.757      0.837 
Test:         48    0.98821       1663        389         14         22      0.054      0.611      0.807      0.711      0.792 
Train:         48    0.98821       6638       1569         40        101      0.060      0.716      0.807      0.763      0.849 
All:         48    0.98821       8294       1965         54        123      0.059      0.695      0.807      0.752      0.837 
Test:         49    0.94928       1660        392         14         22      0.053      0.611      0.806      0.710      0.793 
Train:         49    0.94928       6641       1566         37        104      0.062      0.738      0.808      0.773      0.851 
All:         49    0.94928       8297       1962         51        126      0.060      0.712      0.807      0.760      0.839 
Test:         50    0.98723       1665        387         14         22      0.054      0.611      0.808      0.711      0.797 
Train:         50    0.98723       6642       1565         36        105      0.063      0.745      0.808      0.777      0.855 
All:         50    0.98723       8298       1961         50        127      0.061      0.718      0.807      0.763      0.844 
Test:         51    0.98097       1666        386         14         22      0.054      0.611      0.808      0.712      0.800 
Train:         51    0.98097       6643       1564         35        106      0.063      0.752      0.808      0.781      0.859 
All:         51    0.98097       8299       1960         49        128      0.061      0.723      0.807      0.766      0.847 
Test:         52    0.98824       1665        387         14         22      0.054      0.611      0.808      0.711      0.798 
Train:         52    0.98824       6642       1565         36        105      0.063      0.745      0.808      0.777      0.857 
All:         52    0.98824       8298       1961         50        127      0.061      0.718      0.807      0.763      0.845 
Test:         53    0.97719       1656        396         14         22      0.053      0.611      0.804      0.709      0.792 
Train:         53    0.97719       6641       1566         37        104      0.062      0.738      0.808      0.773      0.852 
All:         53    0.97719       8297       1962         51        126      0.060      0.712      0.807      0.760      0.840 
Test:         54    0.97034       1658        394         14         22      0.053      0.611      0.805      0.710      0.791 
Train:         54    0.97034       6641       1566         37        104      0.062      0.738      0.808      0.773      0.852 
All:         54    0.97034       8297       1962         51        126      0.060      0.712      0.807      0.760      0.840 
Test:         55    0.97338       1666        386         14         22      0.054      0.611      0.808      0.712      0.796 
Train:         55    0.97338       6642       1565         36        105      0.063      0.745      0.808      0.777      0.856 
All:         55    0.97338       8299       1960         49        128      0.061      0.723      0.807      0.766      0.844 
Test:         56    0.96443       1666        386         14         22      0.054      0.611      0.808      0.712      0.798 
Train:         56    0.96443       6642       1565         36        105      0.063      0.745      0.808      0.777      0.859 
All:         56    0.96443       8298       1961         50        127      0.061      0.718      0.807      0.763      0.847 
Test:         57    0.98636       1663        389         14         22      0.054      0.611      0.807      0.711      0.800 
Train:         57    0.98636       6643       1564         35        106      0.063      0.752      0.808      0.781      0.860 
All:         57    0.98636       8299       1960         49        128      0.061      0.723      0.807      0.766      0.848 
Test:         58     0.9612       1664        388         14         22      0.054      0.611      0.807      0.711      0.798 
Train:         58     0.9612       6642       1565         36        105      0.063      0.745      0.808      0.777      0.858 
All:         58     0.9612       8298       1961         50        127      0.061      0.718      0.807      0.763      0.846 
Test:         59    0.98684       1655        397         14         22      0.053      0.611      0.803      0.709      0.796 
Train:         59    0.98684       6643       1564         35        106      0.063      0.752      0.808      0.781      0.856 
All:         59    0.98684       8299       1960         49        128      0.061      0.723      0.807      0.766      0.844 
Test:         60    0.97151       1661        391         14         22      0.053      0.611      0.806      0.710      0.799 
Train:         60    0.97151       6642       1565         36        105      0.063      0.745      0.808      0.777      0.858 
All:         60    0.97151       8298       1961         50        127      0.061      0.718      0.807      0.763      0.846 
Test:         61    0.97532       1666        386         14         22      0.054      0.611      0.808      0.712      0.801 
Train:         61    0.97532       6643       1564         35        106      0.063      0.752      0.808      0.781      0.860 
All:         61    0.97532       8299       1960         49        128      0.061      0.723      0.807      0.766      0.848 
Test:         62    0.96815       1665        387         14         22      0.054      0.611      0.808      0.711      0.801 
Train:         62    0.96815       6642       1565         36        105      0.063      0.745      0.808      0.777      0.860 
All:         62    0.96815       8298       1961         50        127      0.061      0.718      0.807      0.763      0.848 
Test:         63    0.94836       1653        399         14         22      0.052      0.611      0.802      0.708      0.798 
