# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: gin.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
Test:         26    0.98519       1645        407         10         26      0.060      0.722      0.800      0.762      0.840 
Train:         26    0.98519       6629       1578         49         92      0.055      0.652      0.805      0.730      0.841 
All:         26    0.98519       8289       1970         59        118      0.057      0.667      0.806      0.737      0.840 
Test:         27    0.97293       1658        394         12         24      0.057      0.667      0.806      0.737      0.837 
Train:         27    0.97293       6629       1578         49         92      0.055      0.652      0.805      0.730      0.843 
All:         27    0.97293       8287       1972         61        116      0.056      0.655      0.805      0.732      0.842 
Test:         28    0.98595       1656        396         11         25      0.059      0.694      0.805      0.751      0.829 
Train:         28    0.98595       6632       1575         46         95      0.057      0.674      0.806      0.741      0.844 
All:         28    0.98595       8290       1969         58        119      0.057      0.672      0.806      0.740      0.841 
Test:         29     0.9878       1653        399         12         24      0.057      0.667      0.803      0.736      0.826 
Train:         29     0.9878       6632       1575         46         95      0.057      0.674      0.806      0.741      0.846 
All:         29     0.9878       8290       1969         58        119      0.057      0.672      0.806      0.740      0.842 
Test:         30    0.96187       1651        401         12         24      0.056      0.667      0.802      0.736      0.826 
Train:         30    0.96187       6632       1575         46         95      0.057      0.674      0.806      0.741      0.848 
All:         30    0.96187       8290       1969         58        119      0.057      0.672      0.806      0.740      0.843 
Test:         31    0.97825       1658        394         11         25      0.060      0.694      0.806      0.751      0.805 
Train:         31    0.97825       6632       1575         46         95      0.057      0.674      0.806      0.741      0.845 
All:         31    0.97825       8291       1968         57        120      0.057      0.678      0.806      0.743      0.837 
Test:         32    0.97857       1663        389         12         24      0.058      0.667      0.808      0.739      0.794 
Train:         32    0.97857       6633       1574         45         96      0.057      0.681      0.806      0.745      0.844 
All:         32    0.97857       8291       1968         57        120      0.057      0.678      0.806      0.743      0.833 
Test:         33    0.96067       1668        384         12         24      0.059      0.667      0.810      0.740      0.783 
Train:         33    0.96067       6631       1576         47         94      0.056      0.667      0.806      0.737      0.840 
All:         33    0.96067       8289       1970         59        118      0.057      0.667      0.806      0.737      0.828 
Test:         34    0.95633       1651        401         10         26      0.061      0.722      0.803      0.763      0.837 
Train:         34    0.95633       6634       1573         44         97      0.058      0.688      0.806      0.748      0.853 
All:         34    0.95633       8294       1965         54        123      0.059      0.695      0.807      0.752      0.850 
Test:         35    0.98933       1653        399         10         26      0.061      0.722      0.804      0.764      0.841 
Train:         35    0.98933       6637       1570         41        100      0.060      0.709      0.807      0.759      0.855 
All:         35    0.98933       8297       1962         51        126      0.060      0.712      0.807      0.760      0.852 
Test:         36    0.95141       1655        397         10         26      0.061      0.722      0.805      0.764      0.833 
Train:         36    0.95141       6637       1570         41        100      0.060      0.709      0.807      0.759      0.857 
All:         36    0.95141       8297       1962         51        126      0.060      0.712      0.807      0.760      0.852 
Test:         37     0.9848       1659        393         10         26      0.062      0.722      0.807      0.765      0.845 
Train:         37     0.9848       6637       1570         41        100      0.060      0.709      0.807      0.759      0.856 
All:         37     0.9848       8297       1962         51        126      0.060      0.712      0.807      0.760      0.854 
Test:         38    0.94056       1667        385         10         26      0.063      0.722      0.811      0.767      0.845 
Train:         38    0.94056       6637       1570         41        100      0.060      0.709      0.807      0.759      0.855 
All:         38    0.94056       8297       1962         51        126      0.060      0.712      0.807      0.760      0.853 
Test:         39    0.99243       1670        382         10         26      0.064      0.722      0.812      0.768      0.842 
Train:         39    0.99243       6638       1569         40        101      0.060      0.716      0.807      0.763      0.857 
All:         39    0.99243       8298       1961         50        127      0.061      0.718      0.807      0.763      0.854 
Test:         40    0.97489       1675        377         10         26      0.065      0.722      0.815      0.769      0.831 
Train:         40    0.97489       6639       1568         39        102      0.061      0.723      0.807      0.766      0.862 
All:         40    0.97489       8299       1960         49        128      0.061      0.723      0.807      0.766      0.856 
Test:         41    0.99514       1668        384         10         26      0.063      0.722      0.811      0.768      0.825 
Train:         41    0.99514       6637       1570         41        100      0.060      0.709      0.807      0.759      0.864 
All:         41    0.99514       8297       1962         51        126      0.060      0.712      0.807      0.760      0.856 
Test:         42    0.98949       1666        386         10         26      0.063      0.722      0.810      0.767      0.841 
Train:         42    0.98949       6636       1571         42         99      0.059      0.702      0.807      0.755      0.864 
All:         42    0.98949       8296       1963         52        125      0.060      0.706      0.807      0.757      0.859 
Test:         43    0.90744       1670        382         10         26      0.064      0.722      0.812      0.768      0.841 
Train:         43    0.90744       6636       1571         42         99      0.059      0.702      0.807      0.755      0.864 
All:         43    0.90744       8296       1963         52        125      0.060      0.706      0.807      0.757      0.859 
Test:         44    0.96664       1666        386         10         26      0.063      0.722      0.810      0.767      0.842 
Train:         44    0.96664       6637       1570         41        100      0.060      0.709      0.807      0.759      0.864 
All:         44    0.96664       8297       1962         51        126      0.060      0.712      0.807      0.760      0.860 
Test:         45    0.97578       1667        385         10         26      0.063      0.722      0.811      0.767      0.841 
Train:         45    0.97578       6638       1569         40        101      0.060      0.716      0.807      0.763      0.866 
All:         45    0.97578       8298       1961         50        127      0.061      0.718      0.807      0.763      0.861 
Test:         46    0.95241       1661        391         10         26      0.062      0.722      0.808      0.766      0.835 
Train:         46    0.95241       6638       1569         40        101      0.060      0.716      0.807      0.763      0.867 
All:         46    0.95241       8298       1961         50        127      0.061      0.718      0.807      0.763      0.861 
Test:         47    0.93235       1671        381         10         26      0.064      0.722      0.813      0.768      0.809 
Train:         47    0.93235       6640       1567         38        103      0.062      0.730      0.808      0.770      0.865 
All:         47    0.93235       8300       1959         48        129      0.062      0.729      0.808      0.769      0.853 
Test:         48    0.96502       1672        380         10         26      0.064      0.722      0.813      0.769      0.831 
Train:         48    0.96502       6640       1567         38        103      0.062      0.730      0.808      0.770      0.869 
All:         48    0.96502       8300       1959         48        129      0.062      0.729      0.808      0.769      0.862 
Test:         49    0.94716       1680        372         10         26      0.065      0.722      0.817      0.770      0.842 
Train:         49    0.94716       6639       1568         39        102      0.061      0.723      0.807      0.766      0.867 
All:         49    0.94716       8300       1959         48        129      0.062      0.729      0.808      0.769      0.862 
Test:         50    0.92121       1679        373         10         26      0.065      0.722      0.817      0.770      0.843 
Train:         50    0.92121       6639       1568         39        102      0.061      0.723      0.807      0.766      0.865 
All:         50    0.92121       8300       1959         48        129      0.062      0.729      0.808      0.769      0.861 
Test:         51    0.94752       1678        374         10         26      0.065      0.722      0.816      0.770      0.844 
Train:         51    0.94752       6638       1569         40        101      0.060      0.716      0.807      0.763      0.866 
All:         51    0.94752       8300       1959         48        129      0.062      0.729      0.808      0.769      0.861 
Test:         52    0.94346       1673        379         10         26      0.064      0.722      0.814      0.769      0.846 
Train:         52    0.94346       6642       1565         36        105      0.063      0.745      0.808      0.777      0.868 
All:         52    0.94346       8302       1957         46        131      0.063      0.740      0.808      0.775      0.863 
Test:         53    0.92233       1670        382         10         26      0.064      0.722      0.812      0.768      0.846 
Train:         53    0.92233       6641       1566         37        104      0.062      0.738      0.808      0.773      0.869 
All:         53    0.92233       8302       1957         46        131      0.063      0.740      0.808      0.775      0.865 
Test:         54    0.93773       1668        384         10         26      0.063      0.722      0.811      0.768      0.847 
Train:         54    0.93773       6640       1567         38        103      0.062      0.730      0.808      0.770      0.871 
All:         54    0.93773       8300       1959         48        129      0.062      0.729      0.808      0.769      0.866 
Test:         55    0.94729       1674        378         10         26      0.064      0.722      0.814      0.769      0.846 
Train:         55    0.94729       6641       1566         37        104      0.062      0.738      0.808      0.773      0.873 
All:         55    0.94729       8301       1958         47        130      0.062      0.734      0.808      0.772      0.868 
Test:         56    0.92746       1682        370         10         26      0.066      0.722      0.818      0.771      0.843 
Train:         56    0.92746       6641       1566         37        104      0.062      0.738      0.808      0.773      0.870 
All:         56    0.92746       8301       1958         47        130      0.062      0.734      0.808      0.772      0.865 
Test:         57    0.93042       1669        383         10         26      0.064      0.722      0.812      0.768      0.839 
Train:         57    0.93042       6638       1569         40        101      0.060      0.716      0.807      0.763      0.865 
All:         57    0.93042       8298       1961         50        127      0.061      0.718      0.807      0.763      0.860 
Test:         58    0.93087       1670        382         10         26      0.064      0.722      0.812      0.768      0.839 
Train:         58    0.93087       6638       1569         40        101      0.060      0.716      0.807      0.763      0.867 
All:         58    0.93087       8298       1961         50        127      0.061      0.718      0.807      0.763      0.862 
Test:         59    0.90965       1673        379         10         26      0.064      0.722      0.814      0.769      0.845 
Train:         59    0.90965       6644       1563         34        107      0.064      0.759      0.809      0.784      0.876 
All:         59    0.90965       8304       1955         44        133      0.064      0.751      0.808      0.780      0.870 
Test:         60      0.898       1663        389          9         27      0.065      0.750      0.809      0.780      0.846 
Train:         60      0.898       6648       1559         30        111      0.066      0.787      0.810      0.799      0.879 
All:         60      0.898       8309       1950         39        138      0.066      0.780      0.809      0.795      0.872 
Test:         61    0.89593       1664        388          9         27      0.065      0.750      0.810      0.780      0.846 
Train:         61    0.89593       6648       1559         30        111      0.066      0.787      0.810      0.799      0.879 
All:         61    0.89593       8309       1950         39        138      0.066      0.780      0.809      0.795      0.873 
Test:         62    0.89291       1665        387          9         27      0.065      0.750      0.810      0.781      0.847 
Train:         62    0.89291       6650       1557         28        113      0.068      0.801      0.810      0.806      0.880 
All:         62    0.89291       8311       1948         37        140      0.067      0.791      0.810      0.801      0.874 
Test:         63    0.89452       1672        380          9         27      0.066      0.750      0.814      0.782      0.847 
Train:         63    0.89452       6650       1557         28        113      0.068      0.801      0.810      0.806      0.880 
All:         63    0.89452       8311       1948         37        140      0.067      0.791      0.810      0.801      0.874 
Test:         64    0.90477       1672        380          9         27      0.066      0.750      0.814      0.782      0.848 
