# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: gat3h.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
Test:         26    0.94695       1635        417         13         23      0.052      0.639      0.794      0.718      0.800 
Train:         26    0.94695       6641       1566         37        104      0.062      0.738      0.808      0.773      0.852 
All:         26    0.94695       8297       1962         51        126      0.060      0.712      0.807      0.760      0.842 
Test:         27    0.94271       1634        418         14         22      0.050      0.611      0.793      0.704      0.800 
Train:         27    0.94271       6641       1566         37        104      0.062      0.738      0.808      0.773      0.853 
All:         27    0.94271       8297       1962         51        126      0.060      0.712      0.807      0.760      0.842 
Test:         28    0.94162       1634        418         13         23      0.052      0.639      0.794      0.718      0.800 
Train:         28    0.94162       6642       1565         36        105      0.063      0.745      0.808      0.777      0.854 
All:         28    0.94162       8298       1961         50        127      0.061      0.718      0.807      0.763      0.843 
Test:         29    0.93956       1631        421         13         23      0.052      0.639      0.792      0.717      0.801 
Train:         29    0.93956       6642       1565         36        105      0.063      0.745      0.808      0.777      0.855 
All:         29    0.93956       8299       1960         49        128      0.061      0.723      0.807      0.766      0.844 
Test:         30    0.92096       1630        422         13         23      0.052      0.639      0.792      0.717      0.802 
Train:         30    0.92096       6644       1563         34        107      0.064      0.759      0.809      0.784      0.856 
All:         30    0.92096       8300       1959         48        129      0.062      0.729      0.808      0.769      0.844 
Test:         31    0.93321       1630        422         13         23      0.052      0.639      0.792      0.717      0.802 
Train:         31    0.93321       6644       1563         34        107      0.064      0.759      0.809      0.784      0.856 
All:         31    0.93321       8301       1958         47        130      0.062      0.734      0.808      0.772      0.845 
Test:         32    0.93997       1631        421         13         23      0.052      0.639      0.792      0.717      0.803 
Train:         32    0.93997       6645       1562         33        108      0.065      0.766      0.809      0.788      0.857 
All:         32    0.93997       8302       1957         46        131      0.063      0.740      0.808      0.775      0.846 
Test:         33    0.92453       1629        423         13         23      0.052      0.639      0.791      0.716      0.804 
Train:         33    0.92453       6645       1562         33        108      0.065      0.766      0.809      0.788      0.858 
All:         33    0.92453       8302       1957         46        131      0.063      0.740      0.808      0.775      0.847 
Test:         34    0.92656       1634        418         13         23      0.052      0.639      0.794      0.718      0.804 
Train:         34    0.92656       6644       1563         34        107      0.064      0.759      0.809      0.784      0.858 
All:         34    0.92656       8301       1958         47        130      0.062      0.734      0.808      0.772      0.847 
Test:         35    0.91894       1634        418         13         23      0.052      0.639      0.794      0.718      0.805 
Train:         35    0.91894       6646       1561         32        109      0.065      0.773      0.809      0.791      0.859 
All:         35    0.91894       8301       1958         47        130      0.062      0.734      0.808      0.772      0.848 
Test:         36    0.91967       1637        415         13         23      0.053      0.639      0.795      0.718      0.806 
Train:         36    0.91967       6646       1561         32        109      0.065      0.773      0.809      0.791      0.860 
All:         36    0.91967       8303       1956         45        132      0.063      0.746      0.808      0.778      0.848 
Test:         37    0.92668       1640        412         13         23      0.053      0.639      0.796      0.719      0.806 
Train:         37    0.92668       6647       1560         31        110      0.066      0.780      0.809      0.795      0.860 
All:         37    0.92668       8304       1955         44        133      0.064      0.751      0.808      0.780      0.849 
Test:         38    0.91626       1641        411         13         23      0.053      0.639      0.797      0.719      0.806 
Train:         38    0.91626       6648       1559         30        111      0.066      0.787      0.810      0.799      0.861 
All:         38    0.91626       8303       1956         45        132      0.063      0.746      0.808      0.778      0.850 
Test:         39    0.91501       1639        413         13         23      0.053      0.639      0.796      0.719      0.806 
Train:         39    0.91501       6646       1561         32        109      0.065      0.773      0.809      0.791      0.861 
All:         39    0.91501       8303       1956         45        132      0.063      0.746      0.808      0.778      0.850 
