# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: gat3h.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
Test:         26     1.1678       1609        356         74         49      0.121      0.398      0.794      0.609      0.692 
Train:         26     1.1678       6391       1465        287        205      0.123      0.417      0.790      0.615      0.720 
All:         26     1.1678       7991       1830        357        258      0.124      0.420      0.790      0.617      0.714 
Test:         27      1.189       1606        359         76         47      0.116      0.382      0.792      0.600      0.693 
Train:         27      1.189       6396       1460        282        210      0.126      0.427      0.791      0.620      0.721 
All:         27      1.189       7991       1830        357        258      0.124      0.420      0.790      0.617      0.716 
Test:         28     1.1505       1609        356         75         48      0.119      0.390      0.794      0.605      0.694 
Train:         28     1.1505       6395       1461        283        209      0.125      0.425      0.791      0.619      0.723 
All:         28     1.1505       7990       1831        358        257      0.123      0.418      0.790      0.616      0.717 
Test:         29     1.1604       1608        357         74         49      0.121      0.398      0.794      0.608      0.695 
Train:         29     1.1604       6395       1461        283        209      0.125      0.425      0.791      0.619      0.724 
All:         29     1.1604       7993       1828        355        260      0.125      0.423      0.791      0.618      0.718 
Test:         30     1.2295       1607        358         74         49      0.120      0.398      0.793      0.608      0.696 
Train:         30     1.2295       6393       1463        285        207      0.124      0.421      0.791      0.617      0.725 
All:         30     1.2295       7992       1829        356        259      0.124      0.421      0.791      0.617      0.719 
Test:         31     1.1468       1607        358         74         49      0.120      0.398      0.793      0.608      0.697 
Train:         31     1.1468       6396       1460        282        210      0.126      0.427      0.791      0.620      0.726 
All:         31     1.1468       7993       1828        355        260      0.125      0.423      0.791      0.618      0.720 
Test:         32      1.156       1610        355         71         52      0.128      0.423      0.796      0.621      0.698 
Train:         32      1.156       6398       1458        280        212      0.127      0.431      0.792      0.623      0.727 
All:         32      1.156       7997       1824        351        264      0.126      0.429      0.792      0.622      0.721 
Test:         33     1.1607       1613        352         72         51      0.127      0.415      0.797      0.618      0.698 
Train:         33     1.1607       6402       1454        276        216      0.129      0.439      0.793      0.627      0.728 
All:         33     1.1607       8002       1819        346        269      0.129      0.437      0.793      0.626      0.722 
Test:         34     1.2035       1612        353         73         50      0.124      0.407      0.796      0.613      0.700 
Train:         34     1.2035       6403       1453        275        217      0.130      0.441      0.793      0.628      0.729 
All:         34     1.2035       8003       1818        345        270      0.129      0.439      0.793      0.627      0.723 
Test:         35     1.1511       1611        354         72         51      0.126      0.415      0.796      0.617      0.701 
Train:         35     1.1511       6405       1451        273        219      0.131      0.445      0.793      0.630      0.730 
