# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: gat.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
Test:         26     1.1479       1610        355         60         63      0.151      0.512      0.801      0.666      0.768 
Train:         26     1.1479       6420       1436        258        234      0.140      0.476      0.797      0.646      0.737 
All:         26     1.1479       8030       1791        318        297      0.142      0.483      0.798      0.650      0.743 
Test:         27     1.1426       1607        358         61         62      0.148      0.504      0.799      0.661      0.770 
Train:         27     1.1426       6420       1436        258        234      0.140      0.476      0.797      0.646      0.739 
All:         27     1.1426       8029       1792        319        296      0.142      0.481      0.798      0.649      0.745 
Test:         28     1.1371       1609        356         61         62      0.148      0.504      0.800      0.661      0.771 
Train:         28     1.1371       6422       1434        256        236      0.141      0.480      0.798      0.649      0.739 
All:         28     1.1371       8031       1790        317        298      0.143      0.485      0.798      0.651      0.746 
Test:         29     1.1453       1609        356         60         63      0.150      0.512      0.801      0.666      0.772 
Train:         29     1.1453       6422       1434        256        236      0.141      0.480      0.798      0.649      0.740 
All:         29     1.1453       8032       1789        316        299      0.143      0.486      0.798      0.652      0.746 
Test:         30     1.1451       1608        357         58         65      0.154      0.528      0.801      0.673      0.772 
Train:         30     1.1451       6418       1438        260        232      0.139      0.472      0.797      0.644      0.740 
All:         30     1.1451       8030       1791        318        297      0.142      0.483      0.798      0.650      0.746 
Test:         31     1.1425       1602        363         58         65      0.152      0.528      0.798      0.672      0.772 
Train:         31     1.1425       6420       1436        258        234      0.140      0.476      0.797      0.646      0.739 
All:         31     1.1425       8031       1790        317        298      0.143      0.485      0.798      0.651      0.746 
Test:         32     1.1343       1603        362         58         65      0.152      0.528      0.799      0.672      0.772 
Train:         32     1.1343       6419       1437        259        233      0.140      0.474      0.797      0.645      0.739 
All:         32     1.1343       8029       1792        319        296      0.142      0.481      0.798      0.649      0.746 
Test:         33     1.1423       1608        357         58         65      0.154      0.528      0.801      0.673      0.773 
Train:         33     1.1423       6420       1436        258        234      0.140      0.476      0.797      0.646      0.740 
All:         33     1.1423       8030       1791        318        297      0.142      0.483      0.798      0.650      0.746 
Test:         34     1.1451       1611        354         62         61      0.147      0.496      0.801      0.658      0.773 
Train:         34     1.1451       6420       1436        258        234      0.140      0.476      0.797      0.646      0.740 
All:         34     1.1451       8028       1793        320        295      0.141      0.480      0.798      0.649      0.747 
Test:         35     1.1425       1617        348         63         60      0.147      0.488      0.803      0.655      0.773 
Train:         35     1.1425       6425       1431        253        239      0.143      0.486      0.798      0.652      0.740 
All:         35     1.1425       8033       1788        315        300      0.144      0.488      0.798      0.653      0.747 
Test:         36     1.1405       1614        351         63         60      0.146      0.488      0.802      0.655      0.773 
Train:         36     1.1405       6426       1430        252        240      0.144      0.488      0.799      0.653      0.740 
All:         36     1.1405       8035       1786        313        302      0.145      0.491      0.799      0.655      0.747 
Test:         37     1.1397       1613        352         62         61      0.148      0.496      0.802      0.658      0.774 
Train:         37     1.1397       6422       1434        256        236      0.141      0.480      0.798      0.649      0.740 
All:         37     1.1397       8030       1791        318        297      0.142      0.483      0.798      0.650      0.747 
Test:         38     1.1377       1611        354         61         62      0.149      0.504      0.801      0.662      0.775 
Train:         38     1.1377       6420       1436        258        234      0.140      0.476      0.797      0.646      0.740 
