# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: hgcn.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
Test:         26     1.1426       1587        378         60         63      0.143      0.512      0.790      0.660      0.735 
Train:         26     1.1426       6430       1426        248        244      0.146      0.496      0.799      0.657      0.738 
All:         26     1.1426       8038       1783        310        305      0.146      0.496      0.799      0.657      0.737 
Test:         27     1.1438       1586        379         60         63      0.143      0.512      0.790      0.660      0.733 
Train:         27     1.1438       6431       1425        247        245      0.147      0.498      0.800      0.658      0.739 
All:         27     1.1438       8039       1782        309        306      0.147      0.498      0.800      0.658      0.738 
Test:         28     1.1373       1586        379         59         64      0.144      0.520      0.790      0.664      0.733 
Train:         28     1.1373       6429       1427        249        243      0.146      0.494      0.799      0.656      0.740 
All:         28     1.1373       8039       1782        309        306      0.147      0.498      0.800      0.658      0.739 
Test:         29     1.1342       1587        378         63         60      0.137      0.488      0.789      0.648      0.734 
Train:         29     1.1342       6430       1426        248        244      0.146      0.496      0.799      0.657      0.740 
All:         29     1.1342       8035       1786        313        302      0.145      0.491      0.799      0.655      0.739 
Test:         30     1.1261       1588        377         63         60      0.137      0.488      0.789      0.648      0.734 
Train:         30     1.1261       6429       1427        249        243      0.146      0.494      0.799      0.656      0.740 
All:         30     1.1261       8035       1786        313        302      0.145      0.491      0.799      0.655      0.739 
Test:         31     1.1433       1586        379         63         60      0.137      0.488      0.788      0.647      0.732 
Train:         31     1.1433       6433       1423        245        247      0.148      0.502      0.800      0.660      0.740 
All:         31     1.1433       8037       1784        311        304      0.146      0.494      0.799      0.656      0.739 
Test:         32     1.1412       1585        380         63         60      0.136      0.488      0.788      0.647      0.732 
Train:         32     1.1412       6434       1422        244        248      0.149      0.504      0.800      0.662      0.741 
All:         32     1.1412       8037       1784        311        304      0.146      0.494      0.799      0.656      0.739 
Test:         33     1.1271       1584        381         64         59      0.134      0.480      0.787      0.643      0.731 
Train:         33     1.1271       6432       1424        246        246      0.147      0.500      0.800      0.659      0.741 
All:         33     1.1271       8037       1784        311        304      0.146      0.494      0.799      0.656      0.739 
Test:         34     1.1355       1587        378         62         61      0.139      0.496      0.789      0.652      0.732 
Train:         34     1.1355       6430       1426        248        244      0.146      0.496      0.799      0.657      0.741 
All:         34     1.1355       8036       1785        312        303      0.145      0.493      0.799      0.655      0.739 
Test:         35     1.1271       1591        374         62         61      0.140      0.496      0.791      0.653      0.732 
Train:         35     1.1271       6429       1427        249        243      0.146      0.494      0.799      0.656      0.741 
All:         35     1.1271       8035       1786        313        302      0.145      0.491      0.799      0.655      0.739 
Test:         36     1.1434       1587        378         63         60      0.137      0.488      0.789      0.648      0.731 
Train:         36     1.1434       6432       1424        246        246      0.147      0.500      0.800      0.659      0.741 
All:         36     1.1434       8033       1788        315        300      0.144      0.488      0.798      0.653      0.740 
Test:         37     1.1391       1584        381         63         60      0.136      0.488      0.787      0.647      0.730 
Train:         37     1.1391       6433       1423        245        247      0.148      0.502      0.800      0.660      0.742 
All:         37     1.1391       8038       1783        310        305      0.146      0.496      0.799      0.657      0.740 
Test:         38     1.1328       1585        380         65         58      0.132      0.472      0.787      0.639      0.730 
Train:         38     1.1328       6435       1421        243        249      0.149      0.506      0.801      0.663      0.742 
All:         38     1.1328       8037       1784        311        304      0.146      0.494      0.799      0.656      0.740 
Test:         39     1.1297       1587        378         64         59      0.135      0.480      0.788      0.644      0.731 
Train:         39     1.1297       6431       1425        247        245      0.147      0.498      0.800      0.658      0.742 
All:         39     1.1297       8036       1785        312        303      0.145      0.493      0.799      0.655      0.740 
Test:         40     1.1281       1584        381         62         61      0.138      0.496      0.788      0.651      0.731 
Train:         40     1.1281       6432       1424        246        246      0.147      0.500      0.800      0.659      0.742 
All:         40     1.1281       8035       1786        313        302      0.145      0.491      0.799      0.655      0.740 
Test:         41     1.1328       1584        381         63         60      0.136      0.488      0.787      0.647      0.731 
Train:         41     1.1328       6435       1421        243        249      0.149      0.506      0.801      0.663      0.742 
All:         41     1.1328       8036       1785        312        303      0.145      0.493      0.799      0.655      0.740 
Test:         42      1.143       1585        380         62         61      0.138      0.496      0.788      0.651      0.730 
Train:         42      1.143       6434       1422        244        248      0.149      0.504      0.800      0.662      0.742 
All:         42      1.143       8041       1780        307        308      0.148      0.501      0.800      0.660      0.740 
Test:         43     1.1284       1590        375         62         61      0.140      0.496      0.791      0.653      0.731 
Train:         43     1.1284       6430       1426        248        244      0.146      0.496      0.799      0.657      0.742 
All:         43     1.1284       8037       1784        311        304      0.146      0.494      0.799      0.656      0.740 
Test:         44     1.1198       1586        379         63         60      0.137      0.488      0.788      0.647      0.732 
Train:         44     1.1198       6430       1426        248        244      0.146      0.496      0.799      0.657      0.742 
All:         44     1.1198       8037       1784        311        304      0.146      0.494      0.799      0.656      0.740 
Test:         45     1.1273       1585        380         62         61      0.138      0.496      0.788      0.651      0.732 
Train:         45     1.1273       6430       1426        248        244      0.146      0.496      0.799      0.657      0.742 
All:         45     1.1273       8038       1783        310        305      0.146      0.496      0.799      0.657      0.740 
Test:         46     1.1366       1587        378         62         61      0.139      0.496      0.789      0.652      0.732 
Train:         46     1.1366       6432       1424        246        246      0.147      0.500      0.800      0.659      0.742 
All:         46     1.1366       8038       1783        310        305      0.146      0.496      0.799      0.657      0.740 
Test:         47     1.1318       1586        379         62         61      0.139      0.496      0.789      0.652      0.732 
Train:         47     1.1318       6433       1423        245        247      0.148      0.502      0.800      0.660      0.743 
All:         47     1.1318       8041       1780        307        308      0.148      0.501      0.800      0.660      0.741 
Test:         48     1.1302       1581        384         62         61      0.137      0.496      0.786      0.650      0.733 
Train:         48     1.1302       6431       1425        247        245      0.147      0.498      0.800      0.658      0.742 
All:         48     1.1302       8039       1782        309        306      0.147      0.498      0.800      0.658      0.741 
Test:         49     1.1272       1577        388         62         61      0.136      0.496      0.784      0.649      0.733 
Train:         49     1.1272       6433       1423        245        247      0.148      0.502      0.800      0.660      0.742 
All:         49     1.1272       8037       1784        311        304      0.146      0.494      0.799      0.656      0.741 
Test:         50     1.1335       1576        389         62         61      0.136      0.496      0.784      0.649      0.733 
Train:         50     1.1335       6432       1424        246        246      0.147      0.500      0.800      0.659      0.742 
All:         50     1.1335       8039       1782        309        306      0.147      0.498      0.800      0.658      0.741 
Test:         51     1.1288       1581        384         62         61      0.137      0.496      0.786      0.650      0.733 
Train:         51     1.1288       6433       1423        245        247      0.148      0.502      0.800      0.660      0.743 
All:         51     1.1288       8039       1782        309        306      0.147      0.498      0.800      0.658      0.741 
Test:         52     1.1323       1583        382         62         61      0.138      0.496      0.787      0.651      0.733 
Train:         52     1.1323       6433       1423        245        247      0.148      0.502      0.800      0.660      0.743 
All:         52     1.1323       8041       1780        307        308      0.148      0.501      0.800      0.660      0.741 
Test:         53     1.1342       1585        380         62         61      0.138      0.496      0.788      0.651      0.733 
Train:         53     1.1342       6436       1420        242        250      0.150      0.508      0.801      0.664      0.743 
All:         53     1.1342       8040       1781        308        307      0.147      0.499      0.800      0.659      0.741 
Test:         54     1.1292       1585        380         60         63      0.142      0.512      0.789      0.659      0.734 
Train:         54     1.1292       6440       1416        238        254      0.152      0.516      0.802      0.668      0.742 
All:         54     1.1292       8049       1772        299        316      0.151      0.514      0.802      0.667      0.741 
Test:         55     1.1261       1584        381         62         61      0.138      0.496      0.788      0.651      0.734 
Train:         55     1.1261       6438       1418        240        252      0.151      0.512      0.801      0.666      0.743 
All:         55     1.1261       8045       1776        303        312      0.149      0.507      0.801      0.663      0.742 
Test:         56     1.1309       1582        383         63         60      0.135      0.488      0.786      0.646      0.734 
Train:         56     1.1309       6436       1420        242        250      0.150      0.508      0.801      0.664      0.744 
All:         56     1.1309       8043       1778        305        310      0.148      0.504      0.800      0.662      0.742 
Test:         57     1.1247       1581        384         62         61      0.137      0.496      0.786      0.650      0.734 
Train:         57     1.1247       6437       1419        241        251      0.150      0.510      0.801      0.665      0.744 
All:         57     1.1247       8044       1777        304        311      0.149      0.506      0.801      0.662      0.742 
Test:         58     1.1278       1579        386         62         61      0.136      0.496      0.785      0.650      0.735 
Train:         58     1.1278       6439       1417        239        253      0.151      0.514      0.802      0.667      0.744 
All:         58     1.1278       8045       1776        303        312      0.149      0.507      0.801      0.663      0.742 
Test:         59     1.1234       1580        385         61         62      0.139      0.504      0.786      0.654      0.734 
Train:         59     1.1234       6436       1420        242        250      0.150      0.508      0.801      0.664      0.744 
All:         59     1.1234       8043       1778        305        310      0.148      0.504      0.800      0.662      0.742 
Test:         60      1.133       1581        384         62         61      0.137      0.496      0.786      0.650      0.734 
Train:         60      1.133       6436       1420        242        250      0.150      0.508      0.801      0.664      0.744 
All:         60      1.133       8042       1779        306        309      0.148      0.502      0.800      0.661      0.743 
Test:         61     1.1275       1581        384         62         61      0.137      0.496      0.786      0.650      0.734 
Train:         61     1.1275       6436       1420        242        250      0.150      0.508      0.801      0.664      0.745 
All:         61     1.1275       8041       1780        307        308      0.148      0.501      0.800      0.660      0.743 
Test:         62     1.1175       1580        385         62         61      0.137      0.496      0.786      0.650      0.734 
Train:         62     1.1175       6437       1419        241        251      0.150      0.510      0.801      0.665      0.745 
All:         62     1.1175       8042       1779        306        309      0.148      0.502      0.800      0.661      0.743 
Test:         63     1.1338       1581        384         60         63      0.141      0.512      0.787      0.658      0.734 
Train:         63     1.1338       6437       1419        241        251      0.150      0.510      0.801      0.665      0.744 
All:         63     1.1338       8043       1778        305        310      0.148      0.504      0.800      0.662      0.742 
Test:         64     1.1238       1580        385         60         63      0.141      0.512      0.787      0.658      0.734 
Train:         64     1.1238       6437       1419        241        251      0.150      0.510      0.801      0.665      0.744 
All:         64     1.1238       8047       1774        301        314      0.150      0.511      0.801      0.665      0.742 
Test:         65      1.133       1579        386         62         61      0.136      0.496      0.785      0.650      0.733 
Train:         65      1.133       6440       1416        238        254      0.152      0.516      0.802      0.668      0.745 
All:         65      1.133       8042       1779        306        309      0.148      0.502      0.800      0.661      0.743 
Test:         66     1.1208       1580        385         61         62      0.139      0.504      0.786      0.654      0.732 
Train:         66     1.1208       6437       1419        241        251      0.150      0.510      0.801      0.665      0.745 
All:         66     1.1208       8044       1777        304        311      0.149      0.506      0.801      0.662      0.743 
Test:         67     1.1195       1580        385         61         62      0.139      0.504      0.786      0.654      0.732 
Train:         67     1.1195       6435       1421        243        249      0.149      0.506      0.801      0.663      0.746 
All:         67     1.1195       8043       1778        305        310      0.148      0.504      0.800      0.662      0.743 
Test:         68     1.1294       1578        387         59         64      0.142      0.520      0.786      0.662      0.733 
