# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: gcn.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
Test:         26     1.2418       1608        357         66         57      0.138      0.463      0.797      0.641      0.729 
Train:         26     1.2418       6404       1452        274        218      0.131      0.443      0.793      0.629      0.714 
All:         26     1.2418       8008       1813        340        275      0.132      0.447      0.794      0.631      0.717 
Test:         27     1.2421       1609        356         65         58      0.140      0.472      0.798      0.645      0.730 
Train:         27     1.2421       6409       1447        269        223      0.134      0.453      0.794      0.635      0.715 
All:         27     1.2421       8014       1807        334        281      0.135      0.457      0.795      0.636      0.718 
Test:         28     1.2239       1604        361         65         58      0.138      0.472      0.796      0.644      0.731 
Train:         28     1.2239       6410       1446        268        224      0.134      0.455      0.795      0.636      0.716 
All:         28     1.2239       8015       1806        333        282      0.135      0.459      0.795      0.637      0.719 
Test:         29     1.2142       1602        363         64         59      0.140      0.480      0.795      0.647      0.731 
Train:         29     1.2142       6415       1441        263        229      0.137      0.465      0.796      0.641      0.717 
All:         29     1.2142       8020       1801        328        287      0.137      0.467      0.796      0.642      0.720 
Test:         30     1.2243       1604        361         62         61      0.145      0.496      0.797      0.656      0.731 
Train:         30     1.2243       6415       1441        263        229      0.137      0.465      0.796      0.641      0.716 
All:         30     1.2243       8023       1798        325        290      0.139      0.472      0.797      0.644      0.719 
Test:         31      1.234       1599        366         60         63      0.147      0.512      0.796      0.663      0.731 
Train:         31      1.234       6412       1444        266        226      0.135      0.459      0.795      0.638      0.716 
All:         31      1.234       8022       1799        326        289      0.138      0.470      0.796      0.643      0.719 
Test:         32     1.2191       1598        367         62         61      0.143      0.496      0.795      0.655      0.731 
Train:         32     1.2191       6412       1444        266        226      0.135      0.459      0.795      0.638      0.717 
All:         32     1.2191       8020       1801        328        287      0.137      0.467      0.796      0.642      0.720 
Test:         33     1.2327       1602        363         60         63      0.148      0.512      0.797      0.664      0.731 
Train:         33     1.2327       6412       1444        266        226      0.135      0.459      0.795      0.638      0.718 
All:         33     1.2327       8022       1799        326        289      0.138      0.470      0.796      0.643      0.720 
Test:         34     1.2166       1603        362         60         63      0.148      0.512      0.798      0.664      0.732 
Train:         34     1.2166       6413       1443        265        227      0.136      0.461      0.795      0.639      0.719 
All:         34     1.2166       8022       1799        326        289      0.138      0.470      0.796      0.643      0.721 
Test:         35     1.2193       1598        367         59         64      0.148      0.520      0.796      0.667      0.734 
Train:         35     1.2193       6413       1443        265        227      0.136      0.461      0.795      0.639      0.720 
All:         35     1.2193       8024       1797        324        291      0.139      0.473      0.797      0.645      0.723 
Test:         36     1.2149       1598        367         59         64      0.148      0.520      0.796      0.667      0.735 
Train:         36     1.2149       6415       1441        263        229      0.137      0.465      0.796      0.641      0.722 
All:         36     1.2149       8026       1795        322        293      0.140      0.476      0.797      0.647      0.724 
Test:         37     1.2096       1605        360         59         64      0.151      0.520      0.799      0.669      0.737 
Train:         37     1.2096       6416       1440        262        230      0.138      0.467      0.796      0.642      0.723 
All:         37     1.2096       8026       1795        322        293      0.140      0.476      0.797      0.647      0.726 
Test:         38     1.2102       1602        363         59         64      0.150      0.520      0.798      0.668      0.737 
Train:         38     1.2102       6417       1439        261        231      0.138      0.470      0.796      0.643      0.724 
All:         38     1.2102       8027       1794        321        294      0.141      0.478      0.797      0.648      0.727 
Test:         39     1.2163       1601        364         58         65      0.152      0.528      0.798      0.672      0.737 
Train:         39     1.2163       6417       1439        261        231      0.138      0.470      0.796      0.643      0.725 
All:         39     1.2163       8029       1792        319        296      0.142      0.481      0.798      0.649      0.727 
Test:         40     1.2136       1600        365         56         67      0.155      0.545      0.798      0.679      0.738 
Train:         40     1.2136       6416       1440        262        230      0.138      0.467      0.796      0.642      0.726 
All:         40     1.2136       8029       1792        319        296      0.142      0.481      0.798      0.649      0.728 
Test:         41     1.2047       1598        367         56         67      0.154      0.545      0.797      0.679      0.738 
Train:         41     1.2047       6416       1440        262        230      0.138      0.467      0.796      0.642      0.726 
All:         41     1.2047       8028       1793        320        295      0.141      0.480      0.798      0.649      0.728 
Test:         42     1.2098       1598        367         57         66      0.152      0.537      0.797      0.675      0.738 
Train:         42     1.2098       6417       1439        261        231      0.138      0.470      0.796      0.643      0.727 
All:         42     1.2098       8029       1792        319        296      0.142      0.481      0.798      0.649      0.729 
Test:         43     1.2035       1592        373         57         66      0.150      0.537      0.794      0.673      0.739 
Train:         43     1.2035       6418       1438        260        232      0.139      0.472      0.797      0.644      0.727 
All:         43     1.2035       8031       1790        317        298      0.143      0.485      0.798      0.651      0.729 
Test:         44     1.2048       1595        370         57         66      0.151      0.537      0.795      0.674      0.740 
Train:         44     1.2048       6419       1437        259        233      0.140      0.474      0.797      0.645      0.728 
All:         44     1.2048       8030       1791        318        297      0.142      0.483      0.798      0.650      0.730 
Test:         45      1.198       1597        368         58         65      0.150      0.528      0.796      0.671      0.740 
Train:         45      1.198       6418       1438        260        232      0.139      0.472      0.797      0.644      0.728 
All:         45      1.198       8029       1792        319        296      0.142      0.481      0.798      0.649      0.730 
Test:         46     1.2076       1594        371         59         64      0.147      0.520      0.794      0.666      0.740 
Train:         46     1.2076       6416       1440        262        230      0.138      0.467      0.796      0.642      0.728 
All:         46     1.2076       8027       1794        321        294      0.141      0.478      0.797      0.648      0.731 
Test:         47     1.1981       1590        375         60         63      0.144      0.512      0.792      0.661      0.741 
Train:         47     1.1981       6418       1438        260        232      0.139      0.472      0.797      0.644      0.728 
All:         47     1.1981       8026       1795        322        293      0.140      0.476      0.797      0.647      0.731 
Test:         48     1.1902       1592        373         59         64      0.146      0.520      0.793      0.665      0.740 
Train:         48     1.1902       6421       1435        257        235      0.141      0.478      0.797      0.647      0.729 
All:         48     1.1902       8031       1790        317        298      0.143      0.485      0.798      0.651      0.731 
Test:         49     1.1888       1590        375         57         66      0.150      0.537      0.793      0.673      0.741 
Train:         49     1.1888       6420       1436        258        234      0.140      0.476      0.797      0.646      0.729 
All:         49     1.1888       8031       1790        317        298      0.143      0.485      0.798      0.651      0.731 
Test:         50     1.1987       1594        371         58         65      0.149      0.528      0.795      0.670      0.741 
Train:         50     1.1987       6419       1437        259        233      0.140      0.474      0.797      0.645      0.729 
All:         50     1.1987       8030       1791        318        297      0.142      0.483      0.798      0.650      0.731 
Test:         51     1.1893       1591        374         58         65      0.148      0.528      0.793      0.669      0.741 
Train:         51     1.1893       6418       1438        260        232      0.139      0.472      0.797      0.644      0.729 
All:         51     1.1893       8030       1791        318        297      0.142      0.483      0.798      0.650      0.732 
Test:         52     1.1903       1591        374         57         66      0.150      0.537      0.794      0.673      0.741 
Train:         52     1.1903       6418       1438        260        232      0.139      0.472      0.797      0.644      0.730 
All:         52     1.1903       8029       1792        319        296      0.142      0.481      0.798      0.649      0.732 
Test:         53     1.1998       1595        370         57         66      0.151      0.537      0.795      0.674      0.742 
Train:         53     1.1998       6418       1438        260        232      0.139      0.472      0.797      0.644      0.730 
