# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: gtn.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
Test:         26     1.1072       1617        348         64         59      0.145      0.480      0.803      0.651      0.753 
Train:         26     1.1072       6467       1389        211        281      0.168      0.571      0.808      0.697      0.778 
All:         26     1.1072       8074       1747        274        341      0.163      0.554      0.806      0.688      0.772 
Test:         27     1.1042       1615        350         62         61      0.148      0.496      0.803      0.659      0.754 
Train:         27     1.1042       6467       1389        211        281      0.168      0.571      0.808      0.697      0.780 
All:         27     1.1042       8075       1746        273        342      0.164      0.556      0.807      0.689      0.775 
Test:         28     1.0936       1625        340         61         62      0.154      0.504      0.808      0.666      0.755 
Train:         28     1.0936       6468       1388        210        282      0.169      0.573      0.809      0.698      0.783 
All:         28     1.0936       8078       1743        270        345      0.165      0.561      0.807      0.692      0.777 
Test:         29     1.0815       1618        347         61         62      0.152      0.504      0.805      0.664      0.757 
Train:         29     1.0815       6471       1385        207        285      0.171      0.579      0.809      0.701      0.785 
All:         29     1.0815       8080       1741        268        347      0.166      0.564      0.807      0.693      0.779 
Test:         30      1.071       1625        340         60         63      0.156      0.512      0.808      0.670      0.759 
Train:         30      1.071       6472       1384        206        286      0.171      0.581      0.810      0.703      0.787 
All:         30      1.071       8083       1738        265        350      0.168      0.569      0.808      0.696      0.781 
Test:         31     1.0757       1623        342         60         63      0.156      0.512      0.807      0.669      0.760 
Train:         31     1.0757       6474       1382        204        288      0.172      0.585      0.810      0.705      0.789 
All:         31     1.0757       8084       1737        264        351      0.168      0.571      0.808      0.697      0.783 
Test:         32      1.077       1621        344         61         62      0.153      0.504      0.806      0.665      0.760 
Train:         32      1.077       6473       1383        205        287      0.172      0.583      0.810      0.704      0.791 
All:         32      1.077       8084       1737        264        351      0.168      0.571      0.808      0.697      0.785 
Test:         33     1.0767       1621        344         60         63      0.155      0.512      0.807      0.669      0.762 
Train:         33     1.0767       6472       1384        206        286      0.171      0.581      0.810      0.703      0.793 
All:         33     1.0767       8085       1736        263        352      0.169      0.572      0.808      0.698      0.786 
Test:         34     1.0759       1619        346         59         64      0.156      0.520      0.806      0.672      0.763 
Train:         34     1.0759       6475       1381        203        289      0.173      0.587      0.810      0.706      0.795 
All:         34     1.0759       8087       1734        261        354      0.170      0.576      0.809      0.700      0.788 
Test:         35     1.0481       1617        348         59         64      0.155      0.520      0.805      0.672      0.764 
Train:         35     1.0481       6472       1384        206        286      0.171      0.581      0.810      0.703      0.796 
All:         35     1.0481       8083       1738        265        350      0.168      0.569      0.808      0.696      0.790 
Test:         36     1.0553       1621        344         59         64      0.157      0.520      0.807      0.673      0.765 
Train:         36     1.0553       6474       1382        204        288      0.172      0.585      0.810      0.705      0.798 
All:         36     1.0553       8088       1733        260        355      0.170      0.577      0.809      0.700      0.791 
Test:         37     1.0616       1631        334         59         64      0.161      0.520      0.812      0.675      0.768 
Train:         37     1.0616       6480       1376        198        294      0.176      0.598      0.811      0.711      0.799 
All:         37     1.0616       8095       1726        253        362      0.173      0.589      0.810      0.706      0.793 
Test:         38     1.0516       1634        331         57         66      0.166      0.537      0.814      0.684      0.769 
Train:         38     1.0516       6480       1376        198        294      0.176      0.598      0.811      0.711      0.801 
All:         38     1.0516       8097       1724        251        364      0.174      0.592      0.811      0.708      0.794 
Test:         39     1.0381       1635        330         57         66      0.167      0.537      0.815      0.684      0.770 
Train:         39     1.0381       6479       1377        199        293      0.175      0.596      0.811      0.710      0.802 
All:         39     1.0381       8097       1724        251        364      0.174      0.592      0.811      0.708      0.795 
Test:         40      1.055       1634        331         56         67      0.168      0.545      0.815      0.688      0.771 
Train:         40      1.055       6480       1376        198        294      0.176      0.598      0.811      0.711      0.803 
All:         40      1.055       8097       1724        251        364      0.174      0.592      0.811      0.708      0.797 
Test:         41     1.0488       1635        330         57         66      0.167      0.537      0.815      0.684      0.771 
Train:         41     1.0488       6487       1369        191        301      0.180      0.612      0.813      0.719      0.805 
All:         41     1.0488       8104       1717        244        371      0.178      0.603      0.812      0.714      0.798 
Test:         42     1.0374       1632        333         57         66      0.165      0.537      0.813      0.684      0.771 
Train:         42     1.0374       6489       1367        189        303      0.181      0.616      0.814      0.721      0.806 
All:         42     1.0374       8104       1717        244        371      0.178      0.603      0.812      0.714      0.799 
Test:         43     1.0342       1631        334         57         66      0.165      0.537      0.813      0.683      0.771 
Train:         43     1.0342       6489       1367        189        303      0.181      0.616      0.814      0.721      0.807 
All:         43     1.0342       8104       1717        244        371      0.178      0.603      0.812      0.714      0.800 
Test:         44     1.0327       1633        332         56         67      0.168      0.545      0.814      0.688      0.772 
Train:         44     1.0327       6492       1364        186        306      0.183      0.622      0.814      0.724      0.808 
All:         44     1.0327       8106       1715        242        373      0.179      0.607      0.812      0.716      0.801 
Test:         45      1.032       1632        333         57         66      0.165      0.537      0.813      0.684      0.773 
Train:         45      1.032       6495       1361        183        309      0.185      0.628      0.815      0.727      0.809 
All:         45      1.032       8110       1711        238        377      0.181      0.613      0.813      0.719      0.802 
Test:         46     1.0349       1632        333         57         66      0.165      0.537      0.813      0.684      0.774 
Train:         46     1.0349       6496       1360        182        310      0.186      0.630      0.815      0.728      0.810 
All:         46     1.0349       8111       1710        237        378      0.181      0.615      0.813      0.720      0.803 
Test:         47     1.0375       1632        333         53         70      0.174      0.569      0.815      0.700      0.775 
Train:         47     1.0375       6497       1359        181        311      0.186      0.632      0.816      0.730      0.811 
All:         47     1.0375       8114       1707        234        381      0.182      0.620      0.814      0.723      0.804 
Test:         48     1.0131       1636        329         53         70      0.175      0.569      0.817      0.701      0.776 
Train:         48     1.0131       6495       1361        183        309      0.185      0.628      0.815      0.727      0.812 
All:         48     1.0131       8113       1708        235        380      0.182      0.618      0.814      0.722      0.805 
Test:         49     1.0273       1638        327         55         68      0.172      0.553      0.817      0.693      0.777 
Train:         49     1.0273       6501       1355        177        315      0.189      0.640      0.816      0.734      0.813 
All:         49     1.0273       8117       1704        231        384      0.184      0.624      0.815      0.725      0.806 
Test:         50     1.0191       1642        323         56         67      0.172      0.545      0.818      0.690      0.777 
Train:         50     1.0191       6498       1358        180        312      0.187      0.634      0.816      0.731      0.815 
All:         50     1.0191       8115       1706        233        382      0.183      0.621      0.814      0.724      0.807 
Test:         51     1.0195       1641        324         55         68      0.173      0.553      0.818      0.694      0.777 
Train:         51     1.0195       6499       1357        179        313      0.187      0.636      0.816      0.732      0.815 
All:         51     1.0195       8116       1705        232        383      0.183      0.623      0.814      0.725      0.808 
Test:         52     1.0308       1641        324         55         68      0.173      0.553      0.818      0.694      0.777 
Train:         52     1.0308       6501       1355        177        315      0.189      0.640      0.816      0.734      0.817 
All:         52     1.0308       8118       1703        230        385      0.184      0.626      0.815      0.726      0.809 
Test:         53      1.003       1638        327         55         68      0.172      0.553      0.817      0.693      0.778 
Train:         53      1.003       6502       1354        176        316      0.189      0.642      0.817      0.735      0.818 
All:         53      1.003       8119       1702        229        386      0.185      0.628      0.815      0.727      0.810 
Test:         54     1.0095       1636        329         54         69      0.173      0.561      0.817      0.697      0.778 
Train:         54     1.0095       6504       1352        174        318      0.190      0.646      0.817      0.737      0.819 
All:         54     1.0095       8121       1700        227        388      0.186      0.631      0.815      0.729      0.811 
Test:         55     1.0198       1635        330         54         69      0.173      0.561      0.816      0.697      0.778 
Train:         55     1.0198       6506       1350        172        320      0.192      0.650      0.818      0.739      0.820 
All:         55     1.0198       8126       1695        222        393      0.188      0.639      0.816      0.733      0.812 
Test:         56     1.0221       1635        330         54         69      0.173      0.561      0.816      0.697      0.778 
